alpha,dQ_fixed_mean,dQ_fixed_std,dQ_leiden_sparse_mean,dQ_leiden_sparse_std,dG_obs_mean,dG_obs_std,dF_obs_mean,dF_obs_std,realized_retention_mean,realized_retention_std,ratio_observed_mean,ratio_observed_std,m_sparse_mean,m_sparse_std,retention,modularity_fixed_change_mean,modularity_fixed_change_std,modularity_leiden_change_mean,modularity_leiden_change_std,dG_observed_mean,dG_observed_std,Q_orig,n_lcc,m_lcc,n_seeds
0.3,0.06141235322666139,0.000782916075358499,0.0784206592771249,0.00452955274001737,-0.014580627233820781,0.0001339356058186331,0.04683172599284069,0.0007681027575165418,0.22016385386099127,0.0002966092821743747,0.7742887469432033,0.003478666076065856,77502.3,104.41269612030452,0.3,0.06141235322666139,0.000782916075358499,0.0784206592771249,0.00452955274001737,-0.014580627233820781,0.0001339356058186331,0.6566588620689939,27400,352021,10
0.35,0.05937785984318902,0.001415405204116676,0.07714607172757207,0.006695623941528038,-0.014257922136669815,9.400779665638844e-05,0.045119937706519266,0.0014043266710987007,0.2475784115152221,0.0003754073198362758,0.7820688139102121,0.006404687399559414,87152.8,132.15126013608628,0.35,0.05937785984318902,0.001415405204116676,0.07714607172757207,0.006695623941528038,-0.014257922136669815,9.400779665638844e-05,0.6566588620689939,27400,352021,10
0.39999999999999997,0.05750623279676233,0.0010804608380685264,0.0757100203252494,0.0046990291088216726,-0.01389651818622889,0.00015625511499904918,0.043609714610533444,0.0009814817443261805,0.2733422153791961,0.0005022583313377478,0.7889494309621877,0.004486662090055482,96222.2,176.80548005584427,0.39999999999999997,0.05750623279676233,0.0010804608380685264,0.0757100203252494,0.0046990291088216726,-0.01389651818622889,0.00015625511499904918,0.6566588620689939,27400,352021,10
0.44999999999999996,0.05545714320207096,0.0013130031036349755,0.07233658616868374,0.003495648816965421,-0.013562579262655078,0.00010489810975444113,0.041894563939415944,0.0013341691588522474,0.29740583658361286,0.0005311507032086974,0.7968065783137249,0.0061224385955812935,104693.1,186.97620169422677,0.44999999999999996,0.05545714320207096,0.0013130031036349755,0.07233658616868374,0.003495648816965421,-0.013562579262655078,0.00010489810975444113,0.6566588620689939,27400,352021,10
0.5,0.05402279905552502,0.000843120645065093,0.07001753912560578,0.0039984002177376595,-0.01338707360698255,0.0001254553127999097,0.040635725448542506,0.0008494848586452924,0.32005817834731454,0.0005504226539262983,0.8025866399436605,0.00391067984839443,112667.2,193.76033305779356,0.5,0.05402279905552502,0.000843120645065093,0.07001753912560578,0.0039984002177376595,-0.01338707360698255,0.0001254553127999097,0.6566588620689939,27400,352021,10
0.5499999999999999,0.05308302934457615,0.0010465655485784758,0.0691960557588625,0.0028765092409604137,-0.013045934183321384,8.897092153305791e-05,0.04003709516125502,0.0010579072355264717,0.3414671283815454,0.0002748274270907529,0.8053467078484673,0.004878142203830902,120203.6,96.74502571191924,0.5499999999999999,0.05308302934457615,0.0010465655485784758,0.0691960557588625,0.0028765092409604137,-0.013045934183321384,8.897092153305791e-05,0.6566588620689939,27400,352021,10
0.6,0.05124080697239182,0.0008862723253343848,0.06512260390530612,0.0019608392615717315,-0.012699597585990074,0.00011993676721881097,0.038541209386401695,0.0008614286786408824,0.3620394805991688,0.00039139772772765015,0.8122550291727215,0.003989870237650431,127445.5,137.78021951241467,0.6,0.05124080697239182,0.0008862723253343848,0.06512260390530612,0.0019608392615717315,-0.012699597585990074,0.00011993676721881097,0.6566588620689939,27400,352021,10
0.6499999999999999,0.0501163880207112,0.0007937526107154998,0.06431125121083096,0.0010312580476784755,-0.012453955728203351,0.00011278844625436605,0.037662432292507916,0.0008342417453441218,0.3810568119515597,0.0003486081251429655,0.8163268307142975,0.0038710526433068464,134140.0,122.71738082095746,0.6499999999999999,0.0501163880207112,0.0007937526107154998,0.06431125121083096,0.0010312580476784755,-0.012453955728203351,0.00011278844625436605,0.6566588620689939,27400,352021,10
0.7,0.04884834637147021,0.00042422199938870733,0.06277706511746464,0.002287936024526323,-0.0121598539541853,0.00011342594928185999,0.036688492417284904,0.0004590842764507827,0.3993864002431673,0.0005735780870524251,0.8208480535014455,0.0021348904037953773,140592.4,201.91153178228402,0.7,0.04884834637147021,0.00042422199938870733,0.06277706511746464,0.002287936024526323,-0.0121598539541853,0.00011342594928185999,0.6566588620689939,27400,352021,10
0.75,0.04757238766627275,0.0005847953739266129,0.060029988647763,0.0024155896362223405,-0.011952315678000664,5.177397572945571e-05,0.03562007198827215,0.0006156734184865393,0.41671633226426835,0.0004278150297161682,0.8258248335819275,0.0028719579791082928,146692.9,150.59987457571813,0.75,0.04757238766627275,0.0005847953739266129,0.060029988647763,0.0024155896362223405,-0.011952315678000664,5.177397572945571e-05,0.6566588620689939,27400,352021,10
0.7999999999999999,0.04668161207762774,0.0007660298134140371,0.05819219144164038,0.00222556728850894,-0.011652754283975058,9.045828198955927e-05,0.0350288577936528,0.0007680988913827811,0.4332465960837563,0.0006057898228224199,0.8285853365570418,0.0035869673153162687,152511.9,213.25073921977003,0.7999999999999999,0.04668161207762774,0.0007660298134140371,0.05819219144164038,0.00222556728850894,-0.011652754283975058,9.045828198955927e-05,0.6566588620689939,27400,352021,10
0.8499999999999999,0.04546051254698019,0.0005783309484104464,0.05780675116078815,0.0019636388290325637,-0.011399280085952396,7.706984742784764e-05,0.034061232461027935,0.000587354127475324,0.44952914740881933,0.0006069913807197303,0.833109319240597,0.002749032014524746,158243.7,213.6737128323379,0.8499999999999999,0.04546051254698019,0.0005783309484104464,0.05780675116078815,0.0019636388290325637,-0.011399280085952396,7.706984742784764e-05,0.6566588620689939,27400,352021,10
0.8999999999999999,0.044423392606986266,0.0007326721998839598,0.055572825834003504,0.001607977681779151,-0.011198314356443752,0.00011082824165996793,0.033225078250542495,0.0007315537888532513,0.46470920768931395,0.00041046956306990836,0.83703002005234,0.0034310697272730262,163587.4,144.4939060614292,0.8999999999999999,0.044423392606986266,0.0007326721998839598,0.055572825834003504,0.001607977681779151,-0.011198314356443752,0.00011082824165996793,0.6566588620689939,27400,352021,10
0.95,0.043628157322284276,0.00039125604679646697,0.05340754036597537,0.0015225126782755776,-0.010910740609827716,5.776938674030238e-05,0.03271741671245666,0.0004354804601616329,0.4797034835989898,0.0005694941800169361,0.8394120622172396,0.002047024509367336,168865.7,200.47391074373218,0.95,0.043628157322284276,0.00039125604679646697,0.05340754036597537,0.0015225126782755776,-0.010910740609827716,5.776938674030238e-05,0.6566588620689939,27400,352021,10
