dataset,n,m,sampler,alpha,spar_seed,actual_retention,m_sparse,Q_base_mean,Q_base_best,Q_raw_transfer,Q_seeded,k_sparse,k_seeded,T_sparsify,T_leiden_sparse,T_seed,T_pipe,T_leiden_base
email-Eu-core,986,16064,calibrated,0.7,200,0.7037475099601593,11305,0.4160484354291004,0.41643037652366144,0.4143250245097797,0.41714257186269865,8,7,0.013755565043538809,0.05218451505061239,0.0469939720351249,0.1129340521292761,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.7,201,0.7019422310756972,11276,0.4160484354291004,0.41643037652366144,0.4139112979729489,0.41727998985135156,8,8,0.008570716017857194,0.048430945025756955,0.045353336026892066,0.10235499707050622,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.7,202,0.6997634462151394,11241,0.4160484354291004,0.41643037652366144,0.412774680582327,0.415123545440995,8,8,0.01096379291266203,0.05016331106889993,0.04727035097312182,0.10839745495468378,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.7,203,0.6952191235059761,11168,0.4160484354291004,0.41643037652366144,0.41113273305867665,0.4152242460375133,9,8,0.00865974195767194,0.04865073494147509,0.0472735520452261,0.10458402894437313,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.7,204,0.7006349601593626,11255,0.4160484354291004,0.41643037652366144,0.4131792403654803,0.41738060131858024,8,7,0.008706221007741988,0.05245003500021994,0.04575201601255685,0.10690827202051878,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.8,200,0.8012948207171314,12872,0.4160484354291004,0.41643037652366144,0.41251560305094365,0.4146451401038028,8,8,0.008820890914648771,0.055613312986679375,0.04412058391608298,0.10855478781741112,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.8,201,0.8021040836653387,12885,0.4160484354291004,0.41643037652366144,0.4137054131891259,0.41737940969873,8,7,0.01034284196794033,0.05352973996195942,0.044898390071466565,0.10877097200136632,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.8,202,0.7994272908366534,12842,0.4160484354291004,0.41643037652366144,0.41455356363391055,0.4149589759580949,8,8,0.010446156025864184,0.05405177001375705,0.04220910801086575,0.10670703405048698,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.8,203,0.7948207171314741,12768,0.4160484354291004,0.41643037652366144,0.4155074950447215,0.4158541324151849,8,8,0.009014288079924881,0.052146867965348065,0.043747687013819814,0.10490884305909276,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.8,204,0.8004855577689243,12859,0.4160484354291004,0.41643037652366144,0.4158359481025104,0.4172111025984459,8,8,0.009064885904081166,0.05512177001219243,0.04459988803137094,0.10878654394764453,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.9,200,0.8992778884462151,14446,0.4160484354291004,0.41643037652366144,0.41500615441619976,0.4164487080934232,7,7,0.01208322192542255,0.05944475799333304,0.044756754068657756,0.11628473398741335,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.9,201,0.9029506972111554,14505,0.4160484354291004,0.41643037652366144,0.41154932142074135,0.4121611862435715,8,8,0.010105315945111215,0.06224660901352763,0.04260673897806555,0.1149586639367044,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.9,202,0.8973481075697212,14415,0.4160484354291004,0.41643037652366144,0.4157737164824269,0.41658959824918457,7,7,0.009782348992303014,0.054522947990335524,0.043527213972993195,0.10783251095563173,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.9,203,0.9010209163346613,14474,0.4160484354291004,0.41643037652366144,0.41390113529633965,0.41502906645641036,8,8,0.010919869062490761,0.0598685119766742,0.04307248804252595,0.11386086908169091,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.9,204,0.900460657370518,14465,0.4160484354291004,0.41643037652366144,0.41423437420946196,0.414860519094563,8,8,0.011544745997525752,0.05858172010630369,0.041551434085704386,0.11167790018953383,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.95,200,0.9503237051792829,15266,0.4160484354291004,0.41643037652366144,0.4172466148075776,0.41742345700613886,8,8,0.010071477969177067,0.06023071298841387,0.043747077928856015,0.11404926888644695,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.95,201,0.9518799800796812,15291,0.4160484354291004,0.41643037652366144,0.4123130412395488,0.41283370354798443,8,8,0.010463792947120965,0.05873680196236819,0.04376204195432365,0.1129626368638128,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.95,202,0.9508217131474104,15274,0.4160484354291004,0.41643037652366144,0.4172689184435069,0.41737940969873,7,7,0.013549315044656396,0.060194059973582625,0.04498196893837303,0.11872534395661205,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.95,203,0.9503237051792829,15266,0.4160484354291004,0.41643037652366144,0.41344806786611027,0.4145035136626056,8,8,0.010070387972518802,0.0540524460375309,0.0410062950104475,0.1051291290204972,0.06060413992963731
email-Eu-core,986,16064,calibrated,0.95,204,0.9498256972111554,15258,0.4160484354291004,0.41643037652366144,0.41534871509045995,0.41543352548471457,7,7,0.010360365035012364,0.061610617907717824,0.04372770490590483,0.11569868784863502,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.7,200,0.5207295816733067,8365,0.4160484354291004,0.41643037652366144,0.41144684598880377,0.4166745520253398,9,7,0.005421570036560297,0.04440826294012368,0.04702204302884638,0.09685187600553036,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.7,201,0.5228461155378487,8399,0.4160484354291004,0.41643037652366144,0.40749228210105304,0.41701852714267434,9,8,0.00619313505012542,0.043546671979129314,0.04709962895140052,0.09683943598065525,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.7,202,0.5233441235059761,8407,0.4160484354291004,0.41643037652366144,0.40807846993810126,0.4165959806813583,10,7,0.004718664917163551,0.04430902097374201,0.04829522699583322,0.09732291288673878,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.7,203,0.5183640438247012,8327,0.4160484354291004,0.41643037652366144,0.40630638783883394,0.4172546054421507,9,7,0.004881712957285345,0.04467236192431301,0.04681845009326935,0.0963725249748677,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.7,204,0.5206050796812749,8363,0.4160484354291004,0.41643037652366144,0.4030552826821449,0.4167392734527528,10,7,0.00486435298807919,0.043742978014051914,0.046669373055920005,0.09527670405805111,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.8,200,0.575199203187251,9240,0.4160484354291004,0.41643037652366144,0.4064007137535515,0.41651689199997827,10,7,0.005177984945476055,0.047729525016620755,0.04465379996690899,0.0975613099290058,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.8,201,0.5765687250996016,9262,0.4160484354291004,0.41643037652366144,0.41104051718301104,0.41618639284371484,8,8,0.00814927602186799,0.04663363203871995,0.04428974201437086,0.0990726500749588,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.8,202,0.575199203187251,9240,0.4160484354291004,0.41643037652366144,0.41143223653568,0.41690876636010743,8,8,0.005193287972360849,0.04614912893157452,0.04696151101961732,0.09830392792355269,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.8,203,0.5707171314741036,9168,0.4160484354291004,0.41643037652366144,0.4081144239184944,0.41731292118627084,9,7,0.005305716069415212,0.04864481498952955,0.04797466704621911,0.10192519810516387,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.8,204,0.577191235059761,9272,0.4160484354291004,0.41643037652366144,0.41033468490021485,0.4162960024940081,9,8,0.0052805960876867175,0.047452212078496814,0.04553242796100676,0.09826523612719029,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.9,200,0.6216384462151394,9986,0.4160484354291004,0.41643037652366144,0.40783443394313684,0.4112917823384003,8,8,0.005544962012208998,0.0473695551045239,0.04826147004496306,0.10117598716169596,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.9,201,0.624937749003984,10039,0.4160484354291004,0.41643037652366144,0.4107333214607952,0.414957702959328,8,8,0.007718241075053811,0.04562356194946915,0.043152622994966805,0.09649442601948977,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.9,202,0.6234437250996016,10015,0.4160484354291004,0.41643037652366144,0.40648611511374816,0.41533624280269366,9,8,0.00734757399186492,0.04405058303382248,0.04905914200935513,0.10045729903504252,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.9,203,0.6174053784860558,9918,0.4160484354291004,0.41643037652366144,0.41049823327147095,0.41583002294234417,9,8,0.005617273971438408,0.04596849693916738,0.04514761094469577,0.09673338185530156,0.06060413992963731
email-Eu-core,986,16064,repo_noreplace,0.9,204,0.6221364541832669,9994,0.4160484354291004,0.41643037652366144,0.41205218887274603,0.417360539478044,8,7,0.005649265018291771,0.050971592077985406,0.044472789973951876,0.10109364707022905,0.06060413992963731
