network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,n,m,k0,kp,Q0,ami,match_method,greedy_vs_exact_map_diff,agree_all_hung,agree_all_plur,ah_bot3,ah_top3,ah_gap,ap_bot3,ap_top3,ap_gap,spearman_hung,n_incr_steps_hung,core_ah_bot3,core_ah_top3,core_ah_gap,deg_ah_bot3,deg_ah_top3,deg_ah_gap,coh_median,coh_mean,coh_q1,coh_q3,coh_frac_ge_0p8,n_comms_ge20,periph_coh_median,periph_coh_mean,frac_frag_nodes,n_frag_nodes,frag_share_bot2,frag_enrich_bot2,frag_share_top2,frag_enrich_top2,frag_rate_bot2,frag_rate_top2,emb_mean_bot3,emb_mean_top3,frac_emb_eq1,seconds,ah_d0,ah_d1,ah_d2,ah_d3,ah_d4,ah_d5,ah_d6,ah_d7,ah_d8,ah_d9,ap_d0,ap_d1,ap_d2,ap_d3,ap_d4,ap_d5,ap_d6,ap_d7,ap_d8,ap_d9,fs_d0,fs_d1,fs_d2,fs_d3,fs_d4,fs_d5,fs_d6,fs_d7,fs_d8,fs_d9,fr_d0,fr_d1,fr_d2,fr_d3,fr_d4,fr_d5,fr_d6,fr_d7,fr_d8,fr_d9,ahc_d0,ahc_d1,ahc_d2,ahc_d3,ahc_d4,ahc_d5,ahc_d6,ahc_d7,ahc_d8,ahc_d9,ahd_d0,ahd_d1,ahd_d2,ahd_d3,ahd_d4,ahd_d5,ahd_d6,ahd_d7,ahd_d8,ahd_d9
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,986,16064,8,8,0.4163081027638698,0.8890400712764209,hungarian,0.0,0.9198782961460447,0.9198782961460447,0.8785473785473785,0.9356833642547927,0.05713598570741418,0.8785473785473785,0.9356833642547927,0.05713598570741418,0.3161108827136336,6,0.881914381914382,0.9558166701023844,0.07390228818800237,0.8852813852813851,0.955988455988456,0.07070707070707094,1.0,0.9402102212153518,0.9745202558635394,1.0,0.875,8,0.9748774509803921,0.9145402118268167,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.006190054999933636,0.8484848484848485,0.8585858585858586,0.9285714285714286,0.9494949494949495,0.9183673469387755,0.9696969696969697,0.9191919191919192,0.9795918367346939,0.9090909090909091,0.9183673469387755,0.8484848484848485,0.8585858585858586,0.9285714285714286,0.9494949494949495,0.9183673469387755,0.9696969696969697,0.9191919191919192,0.9795918367346939,0.9090909090909091,0.9183673469387755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787878787878788,0.8383838383838383,0.9285714285714286,0.9191919191919192,0.8979591836734694,0.898989898989899,0.9696969696969697,0.9387755102040817,0.98989898989899,0.9387755102040817,0.8888888888888888,0.8383838383838383,0.9285714285714286,0.898989898989899,0.9081632653061225,0.8888888888888888,0.9797979797979798,0.9795918367346939,0.9393939393939394,0.9489795918367347
email-Eu-core,real,jitter,,1.0,1.0,,102,1.0,16064,986,16064,8,8,0.4163081027638698,0.8950772278091617,hungarian,0.0,0.9411764705882353,0.9411764705882353,0.8919466776609634,0.9729265443551158,0.08097986669415247,0.8919466776609634,0.9729265443551158,0.08097986669415247,0.9300954818304988,6,0.9290180718752148,0.9693877551020408,0.04036968322682599,0.9290180718752147,0.9626193911908197,0.03360131931560506,1.0,0.9423549107142857,0.9505580357142858,1.0,0.875,8,0.9701426024955437,0.8811330892892594,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.002561900999808131,0.8383838383838383,0.9292929292929293,0.9081632653061225,0.9393939393939394,0.9591836734693877,0.9494949494949495,0.9696969696969697,0.9795918367346939,0.9595959595959596,0.9795918367346939,0.8383838383838383,0.9292929292929293,0.9081632653061225,0.9393939393939394,0.9591836734693877,0.9494949494949495,0.9696969696969697,0.9795918367346939,0.9595959595959596,0.9795918367346939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494949494949495,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.8877551020408163,0.9090909090909091,1.0,0.9693877551020408,1.0,0.9387755102040817,0.9595959595959596,0.9090909090909091,0.9183673469387755,0.9191919191919192,0.9183673469387755,0.9191919191919192,0.9797979797979798,0.9387755102040817,0.98989898989899,0.9591836734693877
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,986,16064,8,8,0.4163081027638698,0.8658009358965172,hungarian,0.0,0.9310344827586207,0.9310344827586207,0.8785130213701642,0.9660894660894662,0.08757644471930204,0.8785130213701642,0.9660894660894662,0.08757644471930204,0.6139845991168652,4,0.9188139902425615,0.9388785817357247,0.020064591493163197,0.9222153507867793,0.9354772211915069,0.013261870404727594,1.0,0.9756623641304347,0.98828125,1.0,1.0,8,0.9308712121212122,0.911029019800599,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.002613807999750861,0.7676767676767676,0.9494949494949495,0.9183673469387755,0.9393939393939394,0.9183673469387755,0.9191919191919192,1.0,0.9795918367346939,0.9696969696969697,0.9489795918367347,0.7676767676767676,0.9494949494949495,0.9183673469387755,0.9393939393939394,0.9183673469387755,0.9191919191919192,1.0,0.9795918367346939,0.9696969696969697,0.9489795918367347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595959595959596,0.9090909090909091,0.8877551020408163,0.898989898989899,0.9387755102040817,0.9494949494949495,0.9494949494949495,0.9387755102040817,0.9696969696969697,0.9081632653061225,0.9494949494949495,0.9191919191919192,0.8979591836734694,0.898989898989899,0.9285714285714286,0.9595959595959596,0.9494949494949495,0.9285714285714286,0.9696969696969697,0.9081632653061225
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,301,1.0,12872,986,16064,8,8,0.4163081027638698,0.8944587841111193,hungarian,0.0,0.9503042596348884,0.9503042596348884,0.8684120112691541,0.9932316360887791,0.12481962481962494,0.8684120112691541,0.9932316360887791,0.12481962481962494,0.8753839828992931,5,0.9290867862296435,0.9659863945578232,0.036899608328179734,0.9290867862296435,0.9694221122792551,0.04033532604961165,1.0,0.9869977678571429,0.98828125,1.0,1.0,8,0.9502457002457003,0.9137326816075217,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.0024632029999338556,0.7777777777777778,0.9090909090909091,0.9183673469387755,0.9696969696969697,0.9693877551020408,0.9797979797979798,1.0,1.0,0.98989898989899,0.9897959183673469,0.7777777777777778,0.9090909090909091,0.9183673469387755,0.9696969696969697,0.9693877551020408,0.9797979797979798,1.0,1.0,0.98989898989899,0.9897959183673469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.8787878787878788,0.9387755102040817,0.9090909090909091,0.9591836734693877,0.9696969696969697,0.9797979797979798,0.9591836734693877,1.0,0.9387755102040817,0.98989898989899,0.8585858585858586,0.9387755102040817,0.9292929292929293,0.9387755102040817,0.9696969696969697,0.9696969696969697,0.9693877551020408,0.98989898989899,0.9489795918367347
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,302,1.0,12872,986,16064,8,7,0.4163081027638698,0.8325327201571596,hungarian,0.0,0.8823529411764706,0.8823529411764706,0.7098192812478527,0.9627224627224628,0.2529031814746101,0.7098192812478527,0.9627224627224628,0.2529031814746101,0.7575757575757575,5,0.8647357933072218,0.8915687487116059,0.026832955404384018,0.8715385143956573,0.8983371126228269,0.026798598227169568,1.0,0.9834263392857143,0.98828125,1.0,1.0,8,0.9426699426699428,0.9025016740529848,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.0023363109999081644,0.5555555555555556,0.7575757575757576,0.8163265306122449,0.9090909090909091,0.9591836734693877,0.9494949494949495,0.98989898989899,0.9795918367346939,0.9595959595959596,0.9489795918367347,0.5555555555555556,0.7575757575757576,0.8163265306122449,0.9090909090909091,0.9591836734693877,0.9494949494949495,0.98989898989899,0.9795918367346939,0.9595959595959596,0.9489795918367347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191919191919192,0.8484848484848485,0.826530612244898,0.8686868686868687,0.8877551020408163,0.8888888888888888,0.9090909090909091,0.8979591836734694,0.8787878787878788,0.8979591836734694,0.9393939393939394,0.8282828282828283,0.8469387755102041,0.8585858585858586,0.8775510204081632,0.8787878787878788,0.898989898989899,0.9081632653061225,0.8888888888888888,0.8979591836734694
email-Eu-core,real,dspar,dspar,0.8,0.802104,201,300,1.0,12885,986,16064,8,8,0.4163081027638698,0.8992196623434596,hungarian,0.0,0.9513184584178499,0.9513184584178499,0.8886140314711742,0.9830619116333401,0.09444788016216588,0.8886140314711742,0.9830619116333401,0.09444788016216588,0.7987953376480265,5,0.929052429052429,0.9591836734693877,0.03013124441695869,0.929052429052429,0.9626193911908199,0.03356696213839083,1.0,0.9897927989130435,0.991304347826087,1.0,1.0,8,0.9515103338632751,0.9272357419136511,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.0024971519997052383,0.8282828282828283,0.9191919191919192,0.9183673469387755,0.9595959595959596,0.9693877551020408,0.9696969696969697,1.0,1.0,0.9797979797979798,0.9693877551020408,0.8282828282828283,0.9191919191919192,0.9183673469387755,0.9595959595959596,0.9693877551020408,0.9696969696969697,1.0,1.0,0.9797979797979798,0.9693877551020408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595959595959596,0.898989898989899,0.9285714285714286,0.9393939393939394,0.9693877551020408,0.9696969696969697,0.9696969696969697,0.9591836734693877,1.0,0.9183673469387755,0.9696969696969697,0.8888888888888888,0.9285714285714286,0.9595959595959596,0.9489795918367347,0.9696969696969697,0.9595959595959596,0.9591836734693877,0.98989898989899,0.9387755102040817
email-Eu-core,real,dspar,dspar,0.8,0.802104,201,301,1.0,12885,986,16064,8,8,0.4163081027638698,0.8232714888007385,hungarian,0.25,0.8296146044624746,0.8874239350912779,0.6928468357039786,0.8882361025218168,0.1953892668178382,0.7300900158043016,0.9593211021782451,0.22923108637394352,0.7818181818181817,5,0.8140933140933141,0.7860235003092146,-0.02806981378409945,0.8106919535490964,0.8067408781694496,-0.003951075379646785,0.9925373134328358,0.9376165682650413,0.9668526785714285,1.0,0.875,8,0.9349662162162162,0.8760232032091047,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.0026616589998411655,0.6262626262626263,0.6767676767676768,0.7755102040816326,0.8383838383838383,0.8367346938775511,0.9191919191919192,0.9595959595959596,0.9489795918367347,0.8585858585858586,0.8571428571428571,0.5656565656565656,0.7878787878787878,0.8367346938775511,0.9090909090909091,0.9591836734693877,0.9494949494949495,0.98989898989899,0.9795918367346939,0.9595959595959596,0.9387755102040817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8080808080808081,0.8484848484848485,0.7857142857142857,0.8080808080808081,0.8673469387755102,0.9393939393939394,0.8787878787878788,0.9081632653061225,0.9090909090909091,0.5408163265306123,0.8282828282828283,0.8282828282828283,0.7755102040816326,0.8383838383838383,0.8571428571428571,0.898989898989899,0.8484848484848485,0.9183673469387755,0.8181818181818182,0.6836734693877551
email-Eu-core,real,dspar,dspar,0.8,0.802104,201,302,1.0,12885,986,16064,8,8,0.4163081027638698,0.8247699350029825,hungarian,0.0,0.8904665314401623,0.8904665314401623,0.8108293822579536,0.9357177214320073,0.12488833917405362,0.8108293822579536,0.9357177214320073,0.12488833917405362,0.8545454545454544,7,0.875042946471518,0.9252387823816394,0.050195835910121334,0.8784099498385212,0.9184017041159899,0.039991754277468705,0.9932432432432432,0.9282433612766493,0.9257133152173913,1.0,0.875,8,0.9207616707616708,0.8391941127674823,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.0025204399998983718,0.7575757575757576,0.8585858585858586,0.8163265306122449,0.8888888888888888,0.8979591836734694,0.9292929292929293,0.9494949494949495,0.9693877551020408,0.898989898989899,0.9387755102040817,0.7575757575757576,0.8585858585858586,0.8163265306122449,0.8888888888888888,0.8979591836734694,0.9292929292929293,0.9494949494949495,0.9693877551020408,0.898989898989899,0.9387755102040817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.8282828282828283,0.8877551020408163,0.8282828282828283,0.8367346938775511,0.8888888888888888,0.9494949494949495,0.9081632653061225,0.9797979797979798,0.8877551020408163,0.9191919191919192,0.8282828282828283,0.8877551020408163,0.8484848484848485,0.826530612244898,0.898989898989899,0.9393939393939394,0.8673469387755102,0.98989898989899,0.8979591836734694
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,986,16064,8,10,0.4163081027638698,0.8214235315621515,hungarian,0.0,0.8184584178498986,0.8914807302231237,0.6692090977805263,0.8881330309901738,0.21892393320964754,0.740225383082526,0.9457500171785886,0.2055246340960627,0.709090909090909,5,0.7937882223596509,0.8474197759912045,0.0536315536315537,0.8039923039923039,0.8371813371813372,0.03318903318903332,0.9765625,0.9108331715838509,0.8940993788819875,1.0,0.75,8,0.8867880485527544,0.8314464796322214,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.002537788999688928,0.5454545454545454,0.7070707070707071,0.7551020408163265,0.8181818181818182,0.8979591836734694,0.8383838383838383,0.9595959595959596,0.9387755102040817,0.8888888888888888,0.8367346938775511,0.6363636363636364,0.7373737373737373,0.8469387755102041,0.9292929292929293,0.9795918367346939,0.9595959595959596,0.98989898989899,0.9795918367346939,0.9494949494949495,0.9081632653061225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797979797979798,0.8282828282828283,0.7551020408163265,0.8282828282828283,0.7755102040816326,0.797979797979798,0.8585858585858586,0.8673469387755102,0.8585858585858586,0.8163265306122449,0.8080808080808081,0.8181818181818182,0.7857142857142857,0.8080808080808081,0.7959183673469388,0.797979797979798,0.8585858585858586,0.8163265306122449,0.8686868686868687,0.826530612244898
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,301,1.0,8031,986,16064,8,8,0.4163081027638698,0.7298742265781762,hungarian,0.0,0.6703853955375254,0.7515212981744422,0.5342197485054628,0.7356902356902357,0.2014704871847729,0.6016628873771731,0.8204150347007491,0.21875214732357595,0.5227987675648555,6,0.5877825877825879,0.7081701367415653,0.12038754895897741,0.5979523122380265,0.7118463547034976,0.11389404246547108,0.9690998134328358,0.8967004191967183,0.85527950310559,1.0,0.75,8,0.8244631185807656,0.7907327741806641,0.0,0,nan,nan,nan,nan,0.0,0.0,0.43979722999782284,0.9732256209555071,0.20385395537525355,0.002932341999894561,0.43434343434343436,0.5050505050505051,0.6632653061224489,0.696969696969697,0.7551020408163265,0.7070707070707071,0.7373737373737373,0.8979591836734694,0.7070707070707071,0.6020408163265306,0.5252525252525253,0.5858585858585859,0.6938775510204082,0.8282828282828283,0.8571428571428571,0.8181818181818182,0.7474747474747475,0.9285714285714286,0.797979797979798,0.7346938775510204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5656565656565656,0.6262626262626263,0.5714285714285714,0.7474747474747475,0.6428571428571429,0.6767676767676768,0.7474747474747475,0.6122448979591837,0.797979797979798,0.7142857142857143,0.5757575757575758,0.6262626262626263,0.5918367346938775,0.7171717171717171,0.6428571428571429,0.6767676767676768,0.7373737373737373,0.6938775510204082,0.7171717171717171,0.7244897959183674
