network,n,m,avg_deg,arm,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
email-Eu-core,986,16064,32.5841784989858,ld,leiden,0,0.5,0.4999377490039841,0.0,,ok,1,8031,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.3216856760119287,0.3395527383483579,0.00232514677532641,0.34205438889362866,-0.0943627594171717,-0.0764956970807425,-0.07687763817530352,-0.07780955077639318,0.4173622891247511,2,0.12160316604422405,8.0,0.0,0.0,0.0,0.0,0.24306964164976333,0,0.0,0,,,,,0.4340789625273736,0.2477278803961658,0.46706686453767393,0.00631780837142853,,,0.07988559198565781,0.06317725201370195,0.05842591403052211,0.12160316604422405,0.6569367770951408,1.3672972568974278
email-Eu-core,986,16064,32.5841784989858,lsim,leiden,0,0.5,0.5001245019920318,0.0,,ok,1,8034,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.6708706666280788,0.38061158911622767,0.0014565169383895461,0.38210835342333355,0.2548222311989784,-0.03543684631287275,-0.03581878740743377,-0.03675070000852343,0.4173622891247511,2,0.11195743027686453,13.0,6.0,0.006085192697768763,0.6666666666666666,0.0,0.17647058823529413,0,0.0,1,13,1.5,0.40240319536098634,-0.021791606244758677,0.5992940273114397,0.39486952260321906,0.6335062923506921,0.000776908515651337,,,0.07988559198565781,0.06411844893591478,0.047838981340949736,0.11195743027686453,0.7135354195617492,1.6698848877301755
email-Eu-core,986,16064,32.5841784989858,mst_jaccard,leiden,0,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.6509293172595145,0.3743036141301743,0.000660810421506301,0.37477087766030015,0.2348808818304141,-0.041744821298926094,-0.042126762393487116,-0.04305867499457677,0.4173622891247511,2,0.13147915505881733,15.666666666666666,12.0,0.012170385395537525,2.0,0.0,0.16463826910074375,0,0.0,1,17,1.625,0.39781702645034894,-0.02351341232017462,0.600498371543742,0.4123510285940337,0.6394339868557405,-0.001303138873242461,,,0.07988559198565781,0.08549262204905972,0.0459865330097576,0.13147915505881733,0.6075913094354837,1.7371518737606808
email-Eu-core,986,16064,32.5841784989858,mst_random,leiden,1,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.444388880298031,0.4023513595745669,0.004021460679138094,0.40802477341629495,0.02834044486893056,-0.013697075854533503,-0.014079016949094525,-0.015010929550184182,0.4173622891247511,2,0.1472161210064466,9.333333333333334,3.0,0.0030425963488843813,0.3333333333333333,0.0,0.2194050033806626,0,0.0,0,,,,,0.5521636292603258,0.3298137913056006,0.5856621938146744,0.006964078209021673,,,0.07988559198565781,0.08469601033721119,0.0625201106692354,0.1472161210064466,0.5426416036471958,1.2777583265694306
email-Eu-core,986,16064,32.5841784989858,lspar,leiden,0,0.5,0.5020542828685259,0.0,0.7265625,ok,1,8065,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.6754206464909068,0.38792988270606155,0.0014743532590156113,0.3899810602584682,0.2593722110618064,-0.02811855272303887,-0.028500493817599892,-0.02943240641868955,0.4173622891247511,2,0.13803140396097055,11.666666666666666,0.0,0.0,0.0,0.0,0.1744421906693712,0,0.0,1,13,1.5,0.40240319536098634,-0.014473312654924797,0.6049220519536137,0.41139842785522235,0.6348511747795197,-0.006533266259929745,,,0.07988559198565781,0.08881713496521115,0.04921426899575939,0.13803140396097055,0.5787493982763957,1.6232201273281384
email-Eu-core,986,16064,32.5841784989858,dspar,leiden,1,0.5,0.4982984727755644,0.003160460172936082,0.5,ok,1,8005,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.5214441566441518,0.40483834512237404,0.0021000821613929013,0.40778172946907587,0.10539572121505136,-0.011210090306726372,-0.011592031401287395,-0.009751405003120106,0.41458975012549415,1,0.07013343462798123,9.333333333333334,0.0,0.0,0.0,0.0,0.19303583502366464,0,0.0,0,,,,,0.6100874761347738,0.41216405591368954,0.637649700709686,0.004927728474638805,,,0.07988559198565781,0.0036693153282006583,0.06646411929978058,0.07013343462798123,1.1390514725167296,1.2019356131891383
email-Eu-core,986,16064,32.5841784989858,kn,leiden,1,0.2,0.19681689907038513,0.00043228474966798146,3.75,ok,1,3162,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.565315504060545,0.3383818572045236,0.010991354262807024,0.3514073142812218,0.14926706863144457,-0.07766657822457684,-0.07804851931913787,-0.07620789292097058,0.41458975012549415,1,0.05887257166129226,11.0,0.0,0.0,0.0,0.0,0.12914131169709264,0,0.0,1,11,1.25,0.4065571685959102,-0.0681753113913866,0.5002644683926922,0.342456473512089,0.5356740204510246,0.0018963360135626167,,,0.07988559198565781,0.0058053330091449125,0.05306723865214735,0.05887257166129226,1.3569237716547935,1.5053655327593582
email-Eu-core,986,16064,32.5841784989858,ld,leiden,0,0.2,0.20032370517928286,0.0,,ok,1,3218,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.39228240244852247,0.13858155150707763,0.0023820345936735334,0.14191046330427798,-0.023766032980577945,-0.2774668839220228,-0.2778488250165838,-0.2760081986184165,0.41458975012549415,1,0.07195166533347219,12.666666666666666,10.333333333333334,0.010480054090601758,1.6666666666666667,0.0,0.25388776200135227,0,0.0,1,13,1.5,0.40240319536098634,-0.2638216438539087,0.20243831434235315,0.0822936483822004,0.2661387429964135,-0.005142693214829103,,,0.07988559198565781,0.03346398298162967,0.03848768235184252,0.07195166533347219,1.1102674498972955,2.0756145110367616
email-Eu-core,986,16064,32.5841784989858,lsim,leiden,0,0.2,0.19995019920318724,0.0,,ok,1,3212,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.8030678626022073,0.34816311212342715,0.0007872188086753122,0.34897634390847976,0.3870194271731069,-0.06788532330567326,-0.06826726440023428,-0.06919917700132394,0.4173622891247511,2,0.13556968059856445,20.0,8.0,0.008113590263691683,1.6666666666666667,0.0,0.13556457065584857,0,0.0,1,20,1.875,0.390474904338696,-0.04231179221526887,0.6341306713317538,0.4541784287046215,0.6767043387451357,-0.005187621893538803,,,0.07988559198565781,0.10411705792648718,0.03145262267207727,0.13556968059856445,0.589258539468033,2.5398706116987166
email-Eu-core,986,16064,32.5841784989858,mst_jaccard,leiden,0,0.2,0.2000124501992032,0.0,2228,ok,1,3213,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.8435089358909867,0.3337359787743532,0.00410323894089007,0.33782503553081006,0.42746050046188633,-0.08231245665474723,-0.08269439774930826,-0.08362631035039791,0.4173622891247511,2,0.11716228568305573,28.666666666666668,53.333333333333336,0.054090601757944556,9.333333333333334,0.0,0.12474645030425963,0,0.0,1,30,2.25,0.376340655648075,-0.042604676873721825,0.6236468996689096,0.4309316024027872,0.6778996580023481,-0.004205932583591629,,,0.07988559198565781,0.08549611800117418,0.03166616768188154,0.11716228568305573,0.6818370904931146,2.5227426567113778
email-Eu-core,986,16064,32.5841784989858,mst_random,leiden,1,0.2,0.2000124501992032,0.0,2228,ok,1,3213,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.5426121872940252,0.3462889227349401,0.003940428590259666,0.3504957638476224,0.12656375186492475,-0.06975951269416031,-0.07014145378872133,-0.07107336638981099,0.4173622891247511,2,0.13141156102453047,12.0,3.0,0.0030425963488843813,0.3333333333333333,0.0,0.13624070317782286,0,0.0,1,13,1.5,0.40240319536098634,-0.056114272626046235,0.518293322527409,0.36218465980701947,0.559628003739594,0.00821895503779603,,,0.07988559198565781,0.08468536935591449,0.04672619166861599,0.13141156102453047,0.6079038355746009,1.7096533899490378
email-Eu-core,986,16064,32.5841784989858,lspar,leiden,0,0.2,0.2014442231075697,0.0,0.421875,ok,1,3236,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.8042289106431914,0.358796986868884,0.001357068633474419,0.36043719637138694,0.38818047521409094,-0.05725144856021641,-0.057633389654777434,-0.05856530225586709,0.4173622891247511,2,0.1243255456405071,17.666666666666668,0.0,0.0,0.0,0.0,0.1328600405679513,0,0.0,1,18,1.75,0.39334269929743176,-0.03454571242854776,0.6305990502188246,0.4452215417993735,0.669997591948868,-0.0018611130736156003,,,0.07988559198565781,0.0889744259766303,0.035351119663876794,0.1243255456405071,0.6425517103029701,2.2597754397942915
email-Eu-core,986,16064,32.5841784989858,dspar,leiden,1,0.2,0.1989956839309429,0.0023525789001992065,0.2,ok,1,3197,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.5701585294474851,0.34657601915648334,0.013342135771921743,0.3633513114344168,0.1541100940183847,-0.06947241627261708,-0.0698543573671781,-0.06801373096901081,0.41458975012549415,1,0.05216535797808319,13.0,1.6666666666666667,0.0016903313049357674,1.6666666666666667,1.6666666666666667,0.15855307640297497,0,0.0,1,13,1.5,0.40240319536098634,-0.055827176204503004,0.5463638511560744,0.38951475292908005,0.5846893283263173,8.351885690056595e-06,,,0.07988559198565781,0.0029831763046483197,0.049182181673434876,0.05216535797808319,1.5313916185377474,1.6242791447539016
