network,n,m,avg_deg,arm,k_convention,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
email-Eu-core,986,16064,32.5841784989858,kn,nc_base,graclus,1,0.5,0.5030710491367861,0.0013412485567058706,12.5,ok,1,8081,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.46439248202842276,0.37964283834635726,0.005122999070399313,0.38529028262572235,,0.001004739626942086,0.001004739626942086,-0.005749308077699189,0.3786380987194152,3,0.016764009022153914,8.0,0.0,0.0,0.0,0.0,0.3005409060175795,0,0.0,0,,,,,0.5498628289908921,0.24671601137014088,0.5599249137186116,-0.005183741208459242,,,0.013753015315160155,0.007467457035090774,0.00929655198706314,0.016764009022153914,0.8203894007087039,1.4793673325657215
email-Eu-core,986,16064,32.5841784989858,ld,nc_base,graclus,0,0.5,0.4999377490039841,0.0,,ok,1,8031,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.2564661534983021,0.27043971578514125,0.0,0.27043971578514125,,-0.10819838293427392,-0.10819838293427392,-0.10819838293427392,0.3786380987194152,3,0.12485833299191047,8.0,0.0,0.0,0.0,0.0,0.18661257606490875,0,0.0,0,,,,,0.3652155345764119,0.20088566028880528,0.4022769990027212,0.0013457195950819162,,,0.013753015315160155,0.11636650998843834,0.00849182300347214,0.12485833299191047,0.11014895830822287,1.6195598176665738
email-Eu-core,986,16064,32.5841784989858,lsim,nc_base,graclus,0,0.5,0.5001245019920318,0.0,,ok,1,8034,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.6441839880284742,0.37020898485552306,0.0,0.37020898485552306,,-0.008429113863892113,-0.008429113863892113,-0.008429113863892113,0.3786380987194152,3,0.05017255590064451,8.0,0.0,0.0,0.0,0.0,0.2768762677484787,0,0.0,0,,,,,0.5227226133489241,0.2630161828720885,0.5507063617918208,0.001592182061767697,,,0.013753015315160155,0.042597033898346126,0.007575522002298385,0.05017255590064451,0.27411430548594967,1.8154544744226921
email-Eu-core,986,16064,32.5841784989858,mst_jaccard,nc_base,graclus,0,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.6263518045596497,0.36047433809644386,0.0,0.36047433809644386,,-0.018163760622971314,-0.018163760622971314,-0.018163760622971314,0.3786380987194152,3,0.0955631027269798,8.0,0.0,0.0,0.0,0.0,0.2352941176470588,0,0.0,0,,,,,0.5142637512430965,0.281648321218527,0.5426728282741548,-0.0018236271691473745,,,0.013753015315160155,0.0869506360613741,0.008612466665605703,0.0955631027269798,0.14391553772015966,1.5968729806622624
email-Eu-core,986,16064,32.5841784989858,mst_random,nc_base,graclus,1,0.5,0.5,0.0,7047,ok,1,8032,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.39283763073949224,0.36804500062395684,0.0016779637678723143,0.37001942235725926,,-0.010593098095458331,-0.010593098095458331,-0.012720303577770375,0.3786380987194152,3,0.09535414564500873,8.0,0.0,0.0,0.0,0.0,0.3012170385395538,0,0.0,0,,,,,0.5204510204474707,0.2517745000423936,0.5500033103460447,0.0027293128653025334,,,0.013753015315160155,0.08630623097997159,0.009047914665037146,0.09535414564500873,0.14423091122184525,1.5200204493864657
email-Eu-core,986,16064,32.5841784989858,lspar,nc_base,graclus,0,0.5,0.5020542828685259,0.0,0.7265625,ok,1,8065,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.6502200464376353,0.3710738373541442,0.0,0.3710738373541442,,-0.007564261365270997,-0.007564261365270997,-0.007564261365270997,0.3786380987194152,3,0.09863889003948619,8.0,0.0,0.0,0.0,0.0,0.2738336713995943,0,0.0,0,,,,,0.5341607287290288,0.27889195027345814,0.5614885563706277,-0.0010962473739690435,,,0.013753015315160155,0.09090864000609145,0.007730250033394744,0.09863889003948619,0.13942792046478503,1.7791164911544926
email-Eu-core,986,16064,32.5841784989858,dspar,nc_base,graclus,1,0.5,0.4982984727755644,0.003160460172936082,0.5,ok,1,8005,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.4848465143858178,0.375222836787189,0.005941861218006213,0.38356168205663405,,-0.003415261932226188,-0.003415261932226188,-0.008482636002305421,0.3786380987194152,3,0.013037866000862172,8.0,0.0,0.0,0.0,0.0,0.36443542934415146,0,0.0,0,,,,,0.5355529887347469,0.24664901033200784,0.5770307319383661,0.0001549136171007739,,,0.013753015315160155,0.0037840239820070565,0.009253842018855115,0.013037866000862172,1.0548517153229442,1.486195170301997
email-Eu-core,986,16064,32.5841784989858,kn,nc_base,graclus,1,0.2,0.19681689907038513,0.00043228474966798146,3.75,ok,1,3162,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.44662699399934297,0.341195721838534,0.009662949320419995,0.34968099232179856,,-0.037442376880881145,-0.037442376880881145,-0.05096181237760611,0.3786380987194152,3,0.01276797764391328,8.0,0.0,0.0,0.0,0.0,0.26943881000676134,0,0.0,0,,,,,0.4732455434025176,0.24166105361656273,0.49132468547774777,0.00720253618921286,,,0.013753015315160155,0.006251634971704334,0.006516342672208945,0.01276797764391328,1.0771490755011197,2.110542064310759
email-Eu-core,986,16064,32.5841784989858,ld,nc_base,graclus,0,0.2,0.20032370517928286,0.0,,ok,1,3218,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.2553884767202509,0.09105440282879936,0.0,0.09105440282879936,,-0.28758369589061583,-0.28758369589061583,-0.28758369589061583,0.3786380987194152,3,0.049903213628567755,8.0,0.0,0.0,0.0,0.0,0.22616632860040567,0,0.0,0,,,,,0.13594348017243316,0.05405130259762091,0.18618402264389555,-0.003517446460422918,,,0.013753015315160155,0.04267827293369919,0.007224940694868565,0.049903213628567755,0.27559378074375274,1.9035471564393718
email-Eu-core,986,16064,32.5841784989858,lsim,nc_base,graclus,0,0.2,0.19995019920318724,0.0,,ok,1,3212,0.06131723107569721,0.05334910358565737,0.06131723107569721,0.05341135458167331,0.060445717131474105,0.3786380987194152,0.0,0.3786380987194152,8,0.7709892580593634,0.3716237863845911,0.0,0.3716237863845911,,-0.00701431233482408,-0.00701431233482408,-0.00701431233482408,0.3786380987194152,3,0.0373436442653959,8.0,0.0,0.0,0.0,0.0,0.1926977687626775,0,0.0,0,,,,,0.5652853642907401,0.35375577827026616,0.5906455093511014,-0.002857351196894058,,,0.013753015315160155,0.03188677993603051,0.005456864329365392,0.0373436442653959,0.3682826244117863,2.520314687163858
