network,arm,target_ret,realized_ret,seed,n_clusters,frag_nodes,frag_node_frac,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,resolution,detector
email-Eu-core,baseline,1.0,1.0,100,8,0,0.0,0.5774916561472875,0.35830612609664525,0.6021580624218642,0.0031685174373844325,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,101,8,0,0.0,0.562123697873622,0.3322208274752097,0.5877173591075322,0.006149077276475094,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,102,8,0,0.0,0.5597120583264065,0.33017793454725614,0.5853449135790628,-0.005608015025109555,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,103,8,0,0.0,0.5574707531761818,0.3281319241379798,0.5833760851513908,0.000711658891965427,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,104,8,0,0.0,0.5561767481413069,0.3265287907966508,0.5821614025753616,0.0021352269670617016,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,0,8,0,0.0,0.524093189665363,0.22221716772405659,0.5518338446448278,-0.0031246050612361797,,,,graclus
email-Eu-core,baseline,1.0,1.0,1,8,0,0.0,0.524093189665363,0.22221716772405659,0.5518338446448278,0.0006424098297201389,,,,graclus
email-Eu-core,baseline,1.0,1.0,2,8,0,0.0,0.524093189665363,0.22221716772405659,0.5518338446448278,-0.0011566029774635028,,,,graclus
email-Eu-core,kn,0.5,0.50386,0,8,0,0.0,0.5325396907648181,0.24671601137014088,0.5599249137186116,-0.003049697997000425,,,,graclus
email-Eu-core,kn,0.5,0.50417,1,8,0,0.0,0.5575707569538383,0.2669277405298523,0.583713269622959,0.007449730832439231,,,,graclus
email-Eu-core,kn,0.5,0.50118,2,8,0,0.0,0.5594780392540201,0.33568164280016116,0.5852721879026724,0.004383125005551949,,,,graclus
email-Eu-core,ld,0.5,0.49994,0,8,0,0.0,0.365215534576412,0.20088566028880528,0.4022769990027212,-0.0010123896388868035,,,,graclus
email-Eu-core,ld,0.5,0.49994,1,8,0,0.0,0.365215534576412,0.20088566028880528,0.4022769990027212,-0.006776270669882077,,,,graclus
email-Eu-core,ld,0.5,0.49994,2,8,0,0.0,0.365215534576412,0.20088566028880528,0.4022769990027212,0.0015102958134716239,,,,graclus
email-Eu-core,lsim,0.5,0.50012,0,8,0,0.0,0.5227226133489241,0.2630161828720885,0.5507063617918208,0.00643639007219175,,,,graclus
email-Eu-core,lsim,0.5,0.50012,1,8,0,0.0,0.5227226133489241,0.2630161828720885,0.5507063617918208,-0.0013235794746611132,,,,graclus
