arm,gen,detector,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,p_in_mean,p_out,cal_passes,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,sparsifier,target_ret,realized_ret,knob,status,lspar_floor,m_sparse,Q_base_mean,Q_base_std,Q_base_best,AMI_base_mean,AMI_base_std,ARI_base_mean,nc_base,cv_base,T_leiden_orig,T_sparsify,T_detect_sparse,T_pipeline,Q_orig_transfer,Q_orig_transfer_std,AMI,AMI_std,ARI,AMI_chance,ARI_chance,nc_sparse,cv_sparse,budget,n_restarts,Q_matched_best,AMI_at_matched,ARI_at_matched,nc_matched,dQ_vs_matched,dQ_vs_base_best,dQ_vs_base_mean,dAMI_vs_base_mean,dAMI_vs_matched,dARI_vs_base_mean,speedup_pipeline,speedup_detect_only,Q_resmatch,AMI_resmatch,ARI_resmatch,nc_resmatch,gamma_resmatch
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,lspar,0.5,0.4965,0.421875,ok,0.16314,27588,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.04879590799100697,0.6649984319810756,0.7137943399720825,0.3779607606723054,0.0015421610434038337,0.6661610351860127,0.006716114524879812,0.416443766793333,-0.0016203671446013458,-0.0002327308546609567,42.333333333333336,0.5994667581949192,0.7137943399720825,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.002180097087985444,-0.006498658838183902,0.0019903061327948834,0.14684406124380556,0.13454481044693134,0.2574341204077152,1.582508946537661,1.69862946237129,0.38014085776029083,0.5316162247390813,0.178329935391943,30,1.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,lspar,0.2,0.16314,0.0,ok,0.16314,9065,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.083061461977195,0.3233214169934702,0.4063828789706652,0.19810624476750913,0.0,0.4455198023125216,6.409875621278546e-17,0.07301909701824173,-0.00022605058174895914,-2.8879052549859472e-05,937.0,0.943410144104885,0.4063828789706652,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.1820346129927817,-0.18635317474298016,-0.17786420977200137,-0.07379717162968552,-0.08609642242655974,-0.08599054936737606,2.779610036365003,3.4936934877301318,0.27688444376315885,0.5136667492611618,0.1553774918036741,729,30.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,lspar,0.15,0.16314,0.0,floor,0.16314,9065,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.0442548569990322,0.3244720416453977,0.3687268986444299,0.19810624476750913,0.0,0.4455198023125216,6.409875621278546e-17,0.07301909701824173,7.409700747878008e-05,9.762492134224107e-06,937.0,0.943410144104885,0.3687268986444299,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.1820346129927817,-0.18635317474298016,-0.17786420977200137,-0.07379717162968552,-0.08609642242655974,-0.08599054936737606,3.063475795084442,3.4813043467955977,0.27688444376315885,0.5136667492611618,0.1553774918036741,729,30.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,lspar,0.05,0.16314,0.0,floor,0.16314,9065,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.043991322978399694,0.3202619489942056,0.3642532719726053,0.19810624476750913,0.0,0.4455198023125216,6.409875621278546e-17,0.07301909701824173,-2.2963840151856526e-06,4.885214100440444e-07,937.0,0.943410144104885,0.3642532719726053,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.1820346129927817,-0.18635317474298016,-0.17786420977200137,-0.07379717162968552,-0.08609642242655974,-0.08599054936737606,3.1011002945190262,3.5270688027137513,0.27688444376315885,0.5136667492611618,0.1553774918036741,729,30.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,dspar,0.5,0.50094,0.5,ok,0.16314,27835,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.01094261696562171,0.8565361473398904,0.8674787643055121,0.23794689483908946,0.0004352669342272807,0.13590349392931703,0.0021750558461686776,0.018790873087848627,0.0011553978299568694,-1.4039378028857292e-05,35.0,0.6055365245867727,0.8674787643055121,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.14219396292120137,-0.14651252467139983,-0.13802355970042104,-0.3834134800128901,-0.3957127308097643,-0.14021877329776916,1.3021482201908325,1.318783722674022,0.38014085776029083,0.5316162247390813,0.178329935391943,30,1.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,dspar,0.2,0.19955,0.2,ok,0.16314,11088,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.00859361095353961,0.46073840832104906,0.4693320192745887,0.16609908551666208,0.0003223653199688445,0.10409541919941916,0.0010520155994813473,0.013131741818746795,0.000278867440032333,3.987927198561099e-05,1136.6666666666667,3.6123043822348246,0.4693320192745887,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.21404177224362875,-0.2183603339938272,-0.20987136902284842,-0.41522155474278793,-0.42752080553966215,-0.145877904566871,2.4067949396243655,2.4516860513323078,0.22948508919955313,0.3856000657314145,0.07265841097935169,1296,60.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,dspar,0.15,0.14952,0.15,ok,0.16314,8308,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.01076405995991081,0.4792625663297561,0.4900266262896669,0.14079147833449515,9.320882050798314e-05,0.10659600409323533,0.0009112139801500339,0.012078123960620924,0.00036754577703992784,2.5834147028938676e-05,2321.3333333333335,3.8981504220701617,0.4900266262896669,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.23934937942579568,-0.24366794117599413,-0.23517897620501535,-0.4127209698489718,-0.425020220645846,-0.14693152242499688,2.3051521456020616,2.3569250101134642,0.18384784288821623,0.2920305263582775,0.03287987211594034,2130,120.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,dspar,0.05,0.04965,0.05,ok,0.16314,2759,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.010955559031572193,0.5026847686773787,0.5136403277089509,0.0498928940741167,6.938893903907228e-18,0.06578796852385259,1.6361670521979892e-16,0.0038045569743053926,0.00019864150842615821,9.241676427213723e-06,7241.0,0.7327855484382862,0.5136403277089509,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.33024796368617415,-0.3345665254363726,-0.3260775604653938,-0.4535290054183545,-0.4658282562152287,-0.1552050894113124,2.1991768715517095,2.2471059387095327,0.18384784288821623,0.2920305263582775,0.03287987211594034,2130,120.0
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,random,0.5,0.49999,0.5,ok,0.16314,27782,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.001169343013316393,0.8505862806535637,0.8517556236668801,0.2413574867292808,0.0011639041146781258,0.14357263012645205,0.004036643292005133,0.02165232972517106,0.001545581904821642,0.00021265240876338154,65.66666666666667,1.312554182017344,0.8517556236668801,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.13878337103101002,-0.14310193278120847,-0.1346129678102297,-0.37574434381575506,-0.3880435946126293,-0.13735731666044673,1.3261854663557162,1.328008639083418,0.38332820175721766,0.6394476175852803,0.35008632377297005,61,1.5
A,sbm_ps,leiden,10,1,0,1,11.183,0.57853,0.10827513626811935,0.0006520643517480315,1,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,random,0.2,0.2,0.2,ok,0.16314,11113,0.3759704545395105,0.006323045539076214,0.3844594195104893,0.5193169739422071,0.037948234675678115,0.1590096463856178,30.6,0.9806345584534188,1.1295859289937653,0.0008511199848726392,0.4965925813303329,0.49744370131520554,0.16286729038840503,0.000364151770965798,0.09998612793874613,0.0012644869493870807,0.012346576411776743,-0.00026743442918453404,1.5296340444016992e-05,1347.3333333333333,3.854504406016536,0.49744370131520554,1,0.38014085776029083,0.5316162247390813,0.178329935391943,30,-0.2172735673718858,-0.22159212912208426,-0.21310316415110547,-0.419330846003461,-0.4316300968003352,-0.14666306997384104,2.270781449251887,2.2746733871208717,0.22948508919955313,0.3856000657314145,0.07265841097935169,1296,60.0
