arm,gen,detector,is_proxy,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,lspar,0.5,0.49311,0.421875,ok,27407,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.36697932227919755,0.7688355116881149,0.6402464245016667,100,0.015297058540778355,0.0013207831122048336,0.0001527094057268027,0.08562382101081312,0.15098638198105618,0.2366102029918693,-0.013987076614680904,-0.024917559922905785,-0.03031747297879739,-0.004042021065035362,1.10214189703111,1.7271625067159628
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,lspar,0.2,0.16125,0.0,ok,8962,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.19304792611294203,0.3188625786536352,0.06532816115303315,100,0.01655294535724685,0.0006586275802907774,-2.7470983949946333e-06,0.08072381402598694,0.008823674987070262,0.0895474890130572,-0.18791847278093643,-0.4748904929573855,-0.6052357363274309,-0.0027861342485668676,2.912175660719532,29.55435443446239
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,lspar,0.15,0.16125,0.0,floor,8962,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.19304792611294203,0.3188625786536352,0.06532816115303315,100,0.01655294535724685,-1.4446872950055632e-05,2.1734396125104597e-05,0.04203164903447032,0.008398272970225662,0.05042992200469598,-0.18791847278093643,-0.4748904929573855,-0.6052357363274309,-0.0027861342485668676,5.1710969919424326,31.05138626797549
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,lspar,0.05,0.16125,0.0,floor,8962,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.19304792611294203,0.3188625786536352,0.06532816115303315,100,0.01655294535724685,-0.0007851165917097134,-7.619158195529232e-05,0.041938139009289443,0.010121789004188031,0.052059928013477474,-0.18791847278093643,-0.4748904929573855,-0.6052357363274309,-0.0027861342485668676,5.009188985333665,25.764024311756977
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,dspar,0.5,0.49876,0.5,ok,27721,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.21661717721496523,0.1840859543821171,0.03801094877296181,100,0.014212670403551895,-0.0006878967577301233,-6.118573943223654e-05,0.010833937034476548,0.16155240999069065,0.1723863470251672,-0.16434922167891322,-0.6096671172289037,-0.6325529487075022,-0.005126409202261822,1.512753315344069,1.6142007290228728
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,dspar,0.2,0.1996,0.2,ok,11094,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.16328543343052135,0.1214242482814909,0.018153517631100697,100,0.01783255450012701,0.0008244533985132799,9.473241229392002e-05,0.010883892013225704,0.06185240199556574,0.07273629400879145,-0.2176809654633571,-0.6723288233295298,-0.6524103798493633,-0.0015065251056867075,3.5852530230761457,4.216134047648954
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,dspar,0.15,0.14982,0.15,ok,8327,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.1417128573539193,0.11841407621070486,0.017101918164779992,100,0.0161245154965971,-0.0005346325055846031,-4.95289147764326e-05,0.009860398015007377,0.043816573976073414,0.05367697199108079,-0.23925354153995915,-0.6753389954003158,-0.6534619793156841,-0.003214564109216618,4.858284815799724,5.951583940012653
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,dspar,0.05,0.04964,0.05,ok,2759,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.054168878719631795,0.11438178035386301,0.014843363824431147,100,0.005830951894845301,-0.0014157970345820695,-0.0001676335138666279,0.010740198020357639,0.005669466976542026,0.016409664996899664,-0.3267975201742467,-0.6793712912571577,-0.6557205336560329,-0.013508127710968416,15.89173319696926,45.99691982709652
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,random,0.5,0.5,0.5,ok,27790,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.21747602566205887,0.19000532469006745,0.04288155385170452,100,0.015684387141358124,0.002168645597616198,0.00017706912958796977,0.0011288910172879696,0.175621789006982,0.17675068002426997,-0.16349037323181959,-0.6037477469209532,-0.6276823436287595,-0.003654692464455593,1.4754003659084478,1.4848841903780368
B,sbm,metis,0,10,1,0,0,11.183,0.57853,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,100,random,0.2,0.2,0.2,ok,11116,0.38096639889387846,0.7937530716110207,0.6705638974804641,100,0.019339079605813717,0.2607780179823749,0.16048757801694993,0.11847851585678948,0.01798426737911239,100,0.01772004514666935,0.0011736121291026315,6.417174321813293e-05,0.00100090098567307,0.06808083195937797,0.06908173294505104,-0.22047882087692852,-0.6752745557542312,-0.6525796301013517,-0.0016190344591443667,3.7749200384101944,3.830417615019367
