arm,gen,detector,is_proxy,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,lspar,0.5,0.50245,0.515625,ok,27918,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.41299044777214605,0.6314617485941374,0.5000483024294239,100,0.015297058540778355,0.0021633420693927927,0.0002812398222135283,0.07192545401630923,0.1103917810251005,0.18231723504140973,-0.007228256588995341,-0.05612371669604299,-0.07001794961821295,-0.001965617960853712,1.2088113825982165,1.9964090343988528
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,lspar,0.2,0.15935,0.0,ok,8854,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.23023557517378446,0.3838985742785158,0.14454895959277825,100,0.0170293863659264,-0.0007504021489697355,-2.3309751399178433e-05,0.10233730403706431,0.010558006004430354,0.11289531004149467,-0.18998312918735694,-0.3036868910116646,-0.4255172924548586,-0.00023329013570566604,1.952137328653309,20.87393669499824
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,lspar,0.15,0.15935,0.0,floor,8854,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.23023557517378446,0.3838985742785158,0.14454895959277825,100,0.0170293863659264,-0.00039593443885116284,9.331980196204884e-06,0.06321208400186151,0.009021356992889196,0.07223344099475071,-0.18998312918735694,-0.3036868910116646,-0.4255172924548586,-0.00023329013570566604,3.0510404312305472,24.429489835687004
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,lspar,0.05,0.15935,0.0,floor,8854,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.23023557517378446,0.3838985742785158,0.14454895959277825,100,0.0170293863659264,-0.0034621441249002736,-0.00026200241369041895,0.0631838949630037,0.010485570004675537,0.07366946496767923,-0.18998312918735694,-0.3036868910116646,-0.4255172924548586,-0.00023329013570566604,2.991567117510358,21.01813719841834
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,dspar,0.5,0.49825,0.5,ok,27685,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.2736146856739612,0.33701069688515084,0.16025390742371876,100,0.014832396974191326,0.0028885441127584877,0.00036095019446850745,0.010761877987533808,0.16964197502238676,0.18040385300992057,-0.1466040186871802,-0.35057476840502955,-0.4098123446239181,-0.002430279527440741,1.2216321618683565,1.2991310018219675
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,dspar,0.2,0.20121,0.2,ok,11180,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.16479356125198896,0.15100762076510704,0.028303589780757633,100,0.014352700094407325,-0.0012889281701540288,-0.00014487396687030125,0.011073710978962481,0.07065161201171577,0.08172532299067825,-0.25542514310915243,-0.5365778445250733,-0.5417626622668792,-0.0029099764072247417,2.6966812842945664,3.1193506090893566
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,dspar,0.15,0.14889,0.15,ok,8273,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.13916476211705375,0.14448100657541407,0.025947360234557165,100,0.016911534525287764,4.000752286866002e-05,1.2119479035710014e-06,0.010928873962257057,0.05003359797410667,0.06096247193636373,-0.28105394224408764,-0.5431044587147663,-0.5441188918130797,-0.0003511419763443033,3.615128159368993,4.404783143437835
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,dspar,0.05,0.05021,0.05,ok,2790,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.05497929839104739,0.12873447004902072,0.01770550923876324,100,0.007745966692414834,-0.0006888930124822236,-2.506995497205791e-05,0.010643948975484818,0.007914969988632947,0.018558918964117765,-0.365239405970094,-0.5588509952411597,-0.5523607428088736,-0.009516709809217233,11.874999259816372,27.84434423357241
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,random,0.5,0.5,0.5,ok,27782,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.31729222899966436,0.4048256948470262,0.2386253069486982,100,0.015874507866387545,0.002820253689726404,0.00033817961159116175,0.0012097220169380307,0.14544113096781075,0.14665085298474878,-0.10292647536147703,-0.2827597704431542,-0.3314409450989386,-0.0013881686352445223,1.5028016849299202,1.515301397172626
B,dcsbm,metis,0,10,1,1,0,11.183,0.57853,ok,2.327,10000,55564,11.1128,100,0.5800518321215176,100,100,0,234,1.5414430459196407,100,random,0.2,0.2,0.2,ok,11113,0.4202187043611414,0.6875854652901804,0.5700662520476368,100,0.017262676501632067,0.2203871489618905,0.14020027222005796,0.15459996159570785,0.03266857874266082,100,0.01794435844492636,-0.0008453466605619588,-1.3432180853226064e-05,0.001050672959536314,0.07420030399225652,0.07525097695179284,-0.28001843214108346,-0.5329855036944725,-0.537397673304976,0.0006816819432942933,2.928694854062487,2.970165041168698
