arm,gen,detector,is_proxy,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,lspar,0.5,0.50333,0.515625,ok,27981,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.3539886741334667,0.5454840645040235,0.27841706622362605,128,0.02340598214132447,0.0005182520639508803,2.0284896303865513e-05,0.06837113603251055,0.16441943001700565,0.2327905660495162,-0.011212733434490973,-0.027515287375797337,-0.02364057570605943,-0.00010911938939404259,1.1221111809918065,1.5887227985558428
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,lspar,0.2,0.15909,0.0,ok,8844,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.22124486189556392,0.3723670460501656,0.1104296381689746,128,0.013670405992508048,-0.0005575369534411044,-4.0626903670884576e-05,0.09813904302427545,0.015429871971718967,0.11356891499599442,-0.14395654567239374,-0.2006323058296553,-0.19162800376071087,-0.009844695538210463,2.300073897886467,16.929297759070963
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,lspar,0.15,0.15909,0.0,floor,8844,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.22124486189556392,0.3723670460501656,0.1104296381689746,128,0.013670405992508048,-0.0005552725263871874,6.605864774180896e-05,0.059790120052639395,0.014693349949084222,0.07448347000172362,-0.14395654567239374,-0.2006323058296553,-0.19162800376071087,-0.009844695538210463,3.507045214025729,17.77789938296912
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,lspar,0.05,0.15909,0.0,floor,8844,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.22124486189556392,0.3723670460501656,0.1104296381689746,128,0.013670405992508048,-0.002674011966798345,-0.00028023215848299956,0.05988592404173687,0.012549407023470849,0.07243533106520772,-0.14395654567239374,-0.2006323058296553,-0.19162800376071087,-0.009844695538210463,3.6062083675495473,20.815078872254777
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,dspar,0.5,0.49987,0.5,ok,27789,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.25255698204918997,0.30690395664821757,0.09491293539722453,128,0.015178932768808221,-0.0010768519427997462,-7.256459676854045e-05,0.011150403006467968,0.20477192802354693,0.2159223310300149,-0.11264442551876769,-0.2660953952316033,-0.20714470653246095,-0.00833616876191029,1.2097724943385433,1.2756479831724599
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,dspar,0.2,0.19954,0.2,ok,11093,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.16193856852210306,0.14561190118118686,0.021226612641936204,128,0.016780941570722425,-0.0029700173886566847,-0.0002759729668052495,0.010930648015346378,0.08460583200212568,0.09553648001747206,-0.2032628390458546,-0.42738745069863404,-0.2808310292877493,-0.006734159959996086,2.734211025419834,3.087457339666736
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,dspar,0.15,0.15004,0.15,ok,8341,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.1391634995415376,0.1452038281056049,0.020385864205110044,128,0.018863721796082554,-0.000824878606787495,-4.9397085659536256e-05,0.008523183001670986,0.06374631897779182,0.0722695019794628,-0.22603790802642007,-0.427795523774216,-0.2816717777245754,-0.004651379734635957,3.614483147646501,4.0977565635527515
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,dspar,0.05,0.04995,0.05,ok,2777,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.05410204949300564,0.12541635839824983,0.014397187176110316,128,0.007332121111929344,0.003051946895451973,0.0002633521180200501,0.010967970010824502,0.008947547990828753,0.019915518001653254,-0.31109935807495204,-0.44758299348157105,-0.28766045475357516,-0.016182980418789166,13.116249196826779,29.19424374826728
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,random,0.5,0.5,0.5,ok,27796,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.27402832832897767,0.3596083404966316,0.14249839671043577,128,0.019919839356781974,-0.00027239642862011206,-5.6822503011530566e-05,0.0011327469837851822,0.2147698620101437,0.21590260899392888,-0.09117307923897999,-0.21339101138318928,-0.15955924521924972,-0.003595262173936537,1.2098830033171073,1.2162642120673166
B,dcsbm_ps,metis,0,10,1,1,1,11.183,0.57853,ok,2.327,10000,55592,11.1184,128,0.578950208663117,20,489,0,258,1.5528322710655245,128,random,0.2,0.19999,0.2,ok,11118,0.36520140756795766,0.5729993518798209,0.3020576419296855,128,0.02351510153071851,0.26121689699357376,0.1425005270653835,0.1644986801386824,0.02931660900128281,128,0.01730664612222715,5.2968323463649344e-05,-3.1316855874026954e-05,0.0009944670018739998,0.09273052896605805,0.09372499596793205,-0.22270088050257417,-0.40850067174113847,-0.2727410329284027,-0.00620845540849136,2.787056902973343,2.816946046853528
