arm,gen,detector,is_proxy,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,lspar,0.5,0.4965,0.421875,ok,27588,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.32392102450834914,0.6519417153602309,0.33927534870976306,128,0.019661129163911214,-0.0002387208225210869,-7.070561823294054e-05,0.04918753501260653,0.21948760998202488,0.2686751449946314,-0.021728791482934218,0.019223016559576367,0.015178983780153366,-0.001983269649638679,1.2612239698113132,1.5438663393688163
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,lspar,0.2,0.16314,0.0,ok,9065,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.1986015951300698,0.3290893574645766,0.05687235224987825,128,0.020111688143962456,-0.002108144400677354,-0.00024402660345509126,0.07971625495702028,0.013044507009908557,0.09276076196692884,-0.14704822086121355,-0.30362934133607794,-0.26722401267973145,-0.0015327106695874372,3.6530481830299086,25.977182020168556
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,lspar,0.15,0.16314,0.0,floor,9065,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.1986015951300698,0.3290893574645766,0.05687235224987825,128,0.020111688143962456,0.0017555571468410168,0.00017568959142549666,0.04193269397364929,0.012272297986783087,0.05420499196043238,-0.14704822086121355,-0.30362934133607794,-0.26722401267973145,-0.0015327106695874372,6.251445129022693,27.61174258681636
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,lspar,0.05,0.16314,0.0,floor,9065,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.1986015951300698,0.3290893574645766,0.05687235224987825,128,0.020111688143962456,0.0006646619154773198,0.00011448097967207758,0.04175779497018084,0.013477154017891735,0.055234948988072574,-0.14704822086121355,-0.30362934133607794,-0.26722401267973145,-0.0015327106695874372,6.134875457799962,25.143255950766964
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,dspar,0.5,0.50094,0.5,ok,27835,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.22248535627104118,0.2003091854527954,0.03612766160587949,128,0.016079800993793424,-0.0012135171154740215,-0.0002040277556131873,0.009105654957238585,0.22799622401362285,0.23710187897086143,-0.12316445972024218,-0.43240951334785915,-0.2879687033237302,-0.0055645978197564686,1.4291727017540983,1.4862506360610264
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,dspar,0.2,0.19955,0.2,ok,11088,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.16368491365286422,0.12994691011578893,0.01659327382372778,128,0.01774485841025507,0.002443766680184155,0.00019762363450377058,0.010836927976924926,0.08360550599172711,0.09444243396865204,-0.18196490233841914,-0.5027717886848656,-0.3075030911058819,-0.0038995404032948246,3.588000845808736,4.053076755414767
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,dspar,0.15,0.14952,0.15,ok,8308,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.1410660405853926,0.12568786054907333,0.015529239693185077,128,0.018998947339260667,-0.0010091154913507163,-5.46973805279052e-05,0.012634399987291545,0.056220015976578,0.06885441596386954,-0.20458377540589076,-0.5070308382515812,-0.3085671252364246,-0.002645451474289226,4.921391434611418,6.027382366823456
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,dspar,0.05,0.04965,0.05,ok,2759,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.05574414219464811,0.12506585468035894,0.013967005653428372,128,0.006974238309665078,-0.0002050101260309361,-6.54100000611227e-05,0.011020759993698448,0.0070543549954891205,0.01807511498918757,-0.28990567379663523,-0.5076528441202957,-0.31012935927618135,-0.014670160503884814,18.74729611194524,48.03550901201338
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,random,0.5,0.49999,0.5,ok,27782,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.22305657330074286,0.20265075169231359,0.03671663525592054,128,0.016627687752661224,0.0006208585379163974,1.4396420853047804e-05,0.001125820039305836,0.22062924201600254,0.22175506205530837,-0.1225932426905405,-0.43006794710834095,-0.28737972967368913,-0.005016711060888669,1.5280802603515928,1.5358777008134818
B,sbm_ps,metis,0,10,1,0,1,11.183,0.57853,ok,2.327,10000,55565,11.113,128,0.5759380905246109,20,489,1,30,0.29436458248790126,128,random,0.2,0.2,0.2,ok,11113,0.34564981599128336,0.6327186988006546,0.3240963649296097,128,0.021644398813549893,0.33885953295975924,0.16097894076984717,0.1245182220374432,0.015078038283128075,128,0.018998947339260667,0.0009136260376523391,0.0002268662900890615,0.0010111879673786461,0.08455442596459761,0.08556561393197626,-0.1846708752214362,-0.5082004767632113,-0.3090183266464816,-0.002645451474289226,3.9602302535823433,4.007590721526955
