arm,gen,detector,d_nom,graph_seed,het_deg,het_size,d_target,mu_target,p_in_mean,p_out,cal_passes,cal_status,lfr_deg_cv,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,sparsifier,target_ret,realized_ret,knob,status,lspar_floor,m_sparse,Q_base_mean,Q_base_std,Q_base_best,AMI_base_mean,AMI_base_std,ARI_base_mean,nc_base,cv_base,T_leiden_orig,T_sparsify,T_detect_sparse,T_pipeline,Q_orig_transfer,Q_orig_transfer_std,AMI,AMI_std,ARI,AMI_chance,ARI_chance,nc_sparse,cv_sparse,budget,n_restarts,Q_matched_best,AMI_at_matched,ARI_at_matched,nc_matched,dQ_vs_matched,dQ_vs_base_best,dQ_vs_base_mean,dAMI_vs_base_mean,dAMI_vs_matched,dARI_vs_base_mean,speedup_pipeline,speedup_detect_only,Q_resmatch,AMI_resmatch,ARI_resmatch,nc_resmatch,gamma_resmatch
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,lspar,0.5,0.49311,0.421875,ok,0.16125,27407,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.08778917300514877,0.6646136616667112,0.75240283467186,0.379965942315356,0.002132558327239902,0.700434856967837,0.0069444545129979905,0.42153438716382724,0.00038868542592965715,3.901072342742405e-05,47.333333333333336,0.27389774470718886,0.75240283467186,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,0.013981714490388486,0.0009836460010853587,0.01476304026803954,0.28511975881223317,0.27249354648367446,0.32549375814318404,1.555582026866679,1.7610596863806691,0.40359266703147195,0.7497552248885899,0.4239809686515481,53,1.5
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,lspar,0.2,0.16125,0.0,ok,0.16125,8962,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.08111957093933597,0.3377051129937172,0.41882468393305317,0.19266470072347655,0.0,0.4476762423861455,0.0,0.10047148602062196,0.0007645201312646947,7.753451990558434e-05,1042.0,0.8078569427813318,0.41882468393305317,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.17331952710149098,-0.1863175955907941,-0.17253820132383993,0.03236114423054165,0.019734931901982944,0.004430856999978763,2.794544761755667,3.46581760697494,0.24686729809017063,0.46966427121426535,0.17289283786286525,764,30.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,lspar,0.15,0.16125,0.0,floor,0.16125,8962,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.043289818975608796,0.3498317833485392,0.393121602324148,0.19266470072347655,0.0,0.4476762423861455,0.0,0.10047148602062196,-0.0004007786727045445,-3.4001269973588334e-05,1042.0,0.8078569427813318,0.393121602324148,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.17331952710149098,-0.1863175955907941,-0.17253820132383993,0.03236114423054165,0.019734931901982944,0.004430856999978763,2.977257722952641,3.345677500700349,0.24686729809017063,0.46966427121426535,0.17289283786286525,764,30.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,lspar,0.05,0.16125,0.0,floor,0.16125,8962,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.043654713954310864,0.34092548697177943,0.3845802009260903,0.19266470072347655,0.0,0.4476762423861455,0.0,0.10047148602062196,-0.000584711550858038,-5.278624511113321e-05,1042.0,0.8078569427813318,0.3845802009260903,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.17331952710149098,-0.1863175955907941,-0.17253820132383993,0.03236114423054165,0.019734931901982944,0.004430856999978763,3.043381650331037,3.433079576933977,0.24686729809017063,0.46966427121426535,0.17289283786286525,764,30.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,dspar,0.5,0.49876,0.5,ok,0.16125,27721,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.01004253898281604,0.8800281669828109,0.890070705965627,0.23197509731198654,0.0014209194495008316,0.12015541988942498,0.006887744045532021,0.019473882079506375,0.0004814101817501701,1.3618000058639436e-07,32.666666666666664,0.6662671595124657,0.890070705965627,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.134009130512981,-0.14700719900228412,-0.13322780473532994,-0.2951596782661789,-0.3077858905947376,-0.07656674694113683,1.314979044624671,1.3299850737640626,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,1.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,dspar,0.2,0.1996,0.2,ok,0.16125,11094,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.010700709011871368,0.4869391000053535,0.4976398090172249,0.16404972114536448,5.818281685256608e-05,0.10678540351620029,0.0026394590579662596,0.015100654378568284,0.000791614365307412,8.796164479877754e-05,1124.3333333333333,3.571319486456691,0.4976398090172249,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.20193450667960305,-0.21493257516890618,-0.201153180901952,-0.30852969463940355,-0.32115590696796226,-0.08093997464207492,2.351950759105316,2.4036359507096856,0.20330480648248617,0.34431744305861944,0.07069283183618436,1372,60.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,dspar,0.15,0.14982,0.15,ok,0.16125,8327,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.010318451968487352,0.4784243906615302,0.48874284263001755,0.1410233973482004,0.00023840869670023977,0.11222978895033875,0.0008199691102120138,0.015752142126380927,0.0005624881468011023,5.950921595431637e-05,2262.3333333333335,3.857709971381599,0.48874284263001755,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.22496083047676713,-0.23795889896607025,-0.22417950469911607,-0.3030853092052651,-0.3157115215338238,-0.08028848689426227,2.3947651494614473,2.446414416624348,0.17007739752119552,0.25521579319140086,0.03586037104083331,2212,120.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,dspar,0.05,0.04964,0.05,ok,0.16125,2759,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.01064104400575161,0.4880668339901604,0.498707877995912,0.049689900063978144,0.0,0.0659913766360704,0.0,0.005529742974003389,0.00013286772073812142,1.1984825336844706e-05,7241.0,0.6891964161253309,0.498707877995912,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.31629432776098937,-0.3292923962502925,-0.3155130019833383,-0.34932372151953345,-0.36194993384809215,-0.09051088604663982,2.346913650697695,2.398082076199185,0.17007739752119552,0.25521579319140086,0.03586037104083331,2212,120.0
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,random,0.5,0.5,0.5,ok,0.16125,27790,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.0012086579808965325,0.8683842246731123,0.8695928826540088,0.2346811118473111,0.0017675714669141088,0.12473584237825992,0.0019849880778519276,0.02196026000965141,0.0005777600589481357,5.627128812020877e-05,57.0,1.2296738892850396,0.8695928826540088,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.13130311597765643,-0.14430118446695955,-0.13052179020000537,-0.29057925577734395,-0.30320546810590265,-0.07408036901099178,1.3459451542507297,1.3478185039803918,0.40359266703147195,0.7497552248885899,0.4239809686515481,53,1.5
A,sbm,leiden,10,1,0,0,11.183,0.57853,0.04760908090909089,0.0006535051505050505,1,ok,2.327,10000,55580,11.116,100,0.579614969413458,100,100,1,24,0.29296924501050137,random,0.2,0.2,0.2,ok,0.16125,11116,0.3652029020473165,0.009506267405412128,0.37898229631427066,0.41531509815560386,0.06671816978557558,0.0960406290206432,20.0,0.8818535410318938,1.1704243265790866,0.001012495020404458,0.5062505806563422,0.5072630756767467,0.16193763376715728,0.00028225629769268516,0.1051908496656258,0.0010856461987470325,0.015459100444815096,0.00015558966731918808,-3.22861432416837e-05,1319.6666666666667,3.8594758102313627,0.5072630756767467,1,0.36598422782496753,0.42794131048416256,0.09860037049047801,21,-0.20404659405781025,-0.21704466254711338,-0.2032652682801592,-0.31012424848997805,-0.32275046081853676,-0.0805815285758281,2.3073319993133885,2.311946635323674,0.20330480648248617,0.34431744305861944,0.07069283183618436,1372,60.0
