gen,het_deg,het_size,d_nom,graph_seed,d_avg,mu_real,deg_cv,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,worstcase_dQ,worstcase_dAMI
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,lspar,0.5,0.49311,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.35890405053010943,0.005037195974633909,0.3523670851827718,0.36697932227919755,0.746941353938628,0.012779975982376327,0.7301104288137886,0.7688355116881149,-0.026622523935815712,-0.06161389773427273,-0.03989079148463581,-0.1050487841180866
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,lspar,0.2,0.16125,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.19311842232023155,0.00028652281761804384,0.19261288025352316,0.1937349487060525,0.31888927812898105,0.0017418059255117466,0.3164358516202743,0.32169904736588373,-0.1924081521456936,-0.4896659735439197,-0.19964499641388447,-0.5187233613116009
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,lspar,0.15,0.16125,floor,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.19311842232023155,0.00028652281761804384,0.19261288025352316,0.1937349487060525,0.31888927812898105,0.0017418059255117466,0.3164358516202743,0.32169904736588373,-0.1924081521456936,-0.4896659735439197,-0.19964499641388447,-0.5187233613116009
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,dspar,0.5,0.49876,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.21653991500666647,0.0006847534728896196,0.2154864244583048,0.21821900062425204,0.18243924825600363,0.0017274453774877155,0.1788290485019812,0.18438068164713448,-0.16898665945925867,-0.6261160034168971,-0.17677145220910284,-0.656330164429894
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,dspar,0.2,0.1996,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.1628972239620108,0.00044138769165158877,0.16214010038533733,0.16357543195567523,0.12127002904076759,0.0022613309135996375,0.11697477567424,0.12464916704210152,-0.22262935050391433,-0.6872852226321332,-0.2301177762820703,-0.7181844372576353
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,dspar,0.15,0.14982,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.14135451940548815,0.00032145587179993525,0.1406882119222706,0.1417128573539193,0.12104858490496688,0.0019653793697462485,0.11841407621070486,0.12443383770238678,-0.244172055060437,-0.6875066667679339,-0.25156966474513703,-0.7167451367211704
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,random,0.5,0.5,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.21751380720838354,0.0008224203298736698,0.21582602600519676,0.2192252355706921,0.1872584993518833,0.0021703225493823895,0.18375566490140938,0.19000532469006745,-0.1680127672575416,-0.6212967523210174,-0.17643185066221087,-0.6514035480304659
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,random,0.2,0.2,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.16024503451838507,0.0003917936547679117,0.1593939207410846,0.16074165728000867,0.1222657186276764,0.0028855037711586397,0.11847851585678948,0.1271496542198407,-0.22528153994754008,-0.6862895330452243,-0.23286395592632303,-0.7166806970750857
sbm,0,0,10,1,11.116,0.579614969413458,0.29296924501050137,55580,100,random,0.15,0.15,ok,10,0.38552657446592514,0.003858591359315001,0.38096639889387846,0.39225787666740763,0.8085552516729008,0.014036931867906572,0.7937530716110207,0.8351592129318752,0.13859081139958718,0.00040994137167169866,0.1379871686792463,0.13917615615807702,0.1209942694304222,0.0029649847651998487,0.11598939903098568,0.12453545937592977,-0.24693576306633797,-0.6875609822424785,-0.2542707079881613,-0.7191698139008895
sbm,0,0,10,2,11.1336,0.5790579866350507,0.295925453001744,55668,100,lspar,0.5,0.49283,ok,10,0.3869296447955709,0.007708108347761852,0.3674421779329199,0.39406276907868715,0.8166522289622827,0.029759948720200227,0.7425300407266112,0.847234161107879,0.3651928877284559,0.004170435751150622,0.3582528276736413,0.3727988396602758,0.7667469551158451,0.012902597373524264,0.7481607735298063,0.7903872481177029,-0.02173675706711503,-0.049905273846437614,-0.03580994140504584,-0.09907338757807271
