network,arm,target_ret,realized_ret,seed,n_clusters,frag_nodes,frag_node_frac,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,resolution,detector
email-Eu-core,baseline,1.0,1.0,100,8,0,0.0,0.5774916561472875,0.35830612609664525,0.6021580624218642,0.0031685174373844325,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,101,8,0,0.0,0.562123697873622,0.3322208274752097,0.5877173591075322,0.006149077276475094,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,102,8,0,0.0,0.5597120583264065,0.33017793454725614,0.5853449135790628,-0.005608015025109555,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,103,8,0,0.0,0.5574707531761818,0.3281319241379798,0.5833760851513908,0.000711658891965427,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,104,8,0,0.0,0.5561767481413069,0.3265287907966508,0.5821614025753616,0.0021352269670617016,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,0,8,0,0.0,0.4616583627918021,0.3206432566173746,0.49300632146976714,0.007275367714422435,,,,metis
email-Eu-core,baseline,1.0,1.0,1,8,0,0.0,0.4616583627918021,0.3206432566173746,0.49300632146976714,-0.004704283439063746,,,,metis
email-Eu-core,baseline,1.0,1.0,2,8,0,0.0,0.47375144910187844,0.33167744488130585,0.5043952333905111,-0.003226408956069941,,,,metis
email-Eu-core,baseline,1.0,1.0,3,8,0,0.0,0.4341256471188274,0.2959639389744959,0.4670768816828522,-0.0037925679599767575,,,,metis
email-Eu-core,baseline,1.0,1.0,4,8,0,0.0,0.4251474742148134,0.27940988148880064,0.458621498547751,0.001356578029391484,,,,metis
email-Eu-core,baseline,1.0,1.0,5,8,0,0.0,0.48707879670388204,0.3474587766145908,0.5169465211547091,0.0024418632550532887,,,,metis
email-Eu-core,baseline,1.0,1.0,6,8,0,0.0,0.46662931062886603,0.33001897980588674,0.49768782152276586,-0.00045157182536282507,,,,metis
email-Eu-core,baseline,1.0,1.0,7,8,0,0.0,0.4920540509606456,0.34401227887973546,0.5216320632251584,0.005768854643733303,,,,metis
email-Eu-core,baseline,1.0,1.0,8,8,0,0.0,0.4849125268505863,0.33681348120811144,0.5149063815105419,-0.001860280965077373,,,,metis
email-Eu-core,baseline,1.0,1.0,9,8,0,0.0,0.47207476104117285,0.30752604722051513,0.5028161799307252,0.0009517707822256379,,,,metis
email-Eu-core,kn,0.5,0.50386,0,8,0,0.0,0.5314264340941618,0.368981832703714,0.5587117919102499,0.004996114302729797,,,,metis
