network,n,m,avg_deg,arm,k_convention,detector,stochastic,target_ret,realized_ret,realized_ret_std,param,status,matched,m_sparse,mst_floor,lspar_floor,ld_floor,lsim_floor,kn_ret_k1,Q_base_mean,Q_base_std,Q_base_best,nc_base,Q_sparse_on_sparse,Q_orig_mean,Q_orig_std,Q_orig_max,dQ_naive,dQ_vs_base_mean,dQ_vs_base_best,dQ_vs_matched,Q_matched_best,n_restarts,budget,nc_sparse,frag_nodes,frag_node_frac,n_frag_clusters,n_singletons,max_cluster_frac,frag_nodes_base,frag_node_frac_base,resmatch_done,nc_resmatch,gamma_resmatch,Q_resmatch,dQ_vs_resmatch,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,T_leiden_orig,T_sparsify,T_leiden_sparse,T_pipeline,speedup_pipeline,speedup_detect_only
ca-HepTh,8638,24806,5.74345913405881,kn,nc_base,metis,1,0.5,0.5015802628396355,0.0014088511373833354,1.875,ok,1,12442,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.862326384546685,0.6409250328221432,0.004229971587775456,0.6490011493462428,,-0.08652785159723253,-0.08879438905310166,-0.09665262616896053,0.7297194218752449,10,0.05061982945771888,49.0,0.0,0.0,0.0,0.0,0.020907617504051863,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.013232731958851218,0.037387097498867664,0.05061982945771888,1.240372416826751,1.679387928034006
ca-HepTh,8638,24806,5.74345913405881,ld,nc_base,metis,0,0.5,0.510360396678223,0.0,,ok,1,12660,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.8046153718969072,0.6554598734961823,0.001632138744280502,0.6590208501402308,,-0.07199301092319343,-0.07425954837906257,-0.07664936327736627,0.7297194218752449,10,0.21257170038297774,49.0,0.0,0.0,0.0,0.0,0.020953924519564713,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.1673897639848292,0.045181936398148534,0.21257170038297774,0.29537064477871866,1.3896580184288347
ca-HepTh,8638,24806,5.74345913405881,lsim,nc_base,metis,0,0.5,0.5008465693783763,1.1102230246251565e-16,,ok,1,12424,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.93418877956339,0.6587376159614589,0.0018234194787064575,0.6613532005703608,,-0.06871526845791687,-0.070981805913786,-0.0733853714743361,0.7297194218752449,10,0.10310310525237583,49.0,0.0,0.0,0.0,0.0,0.020965501273442926,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.0770479169441387,0.02605518830823712,0.10310310525237583,0.6089771986026765,2.40978646790202
ca-HepTh,8638,24806,5.74345913405881,mst_jaccard,nc_base,metis,0,0.5,0.5,0.0,3766,ok,1,12403,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9670950307352888,0.6949997687935994,0.002208446317531219,0.6989991605194128,,-0.03245311562577635,-0.034719653081645485,-0.03781164459766573,0.7297194218752449,10,0.042258923704503105,49.0,0.0,0.0,0.0,0.0,0.020953924519564713,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.02245896600652486,0.019799957697978245,0.042258923704503105,1.4857794449019086,3.1710896135015427
ca-HepTh,8638,24806,5.74345913405881,mst_random,nc_base,metis,1,0.5,0.5,0.0,3766,ok,1,12403,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.8658122871587197,0.6802698232812139,0.0037548584107652545,0.685872378526185,,-0.04718306113816184,-0.049449598594030975,-0.055492358994923996,0.7297194218752449,10,0.058250315126497296,49.0,0.0,0.0,0.0,0.0,0.020953924519564713,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.021853179030586034,0.03639713609591126,0.058250315126497296,1.077890137889873,1.7250654018045688
ca-HepTh,8638,24806,5.74345913405881,lspar,nc_base,metis,0,0.5,0.5006046924131259,0.0,0.265625,ok,1,12418,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9331091781704667,0.6732151713372527,0.0021362666173382642,0.6762133163263884,,-0.054237713082122996,-0.05650425053799213,-0.06068699656134735,0.7297194218752449,10,0.05668772648787126,49.0,0.0,0.0,0.0,0.0,0.020942347765686497,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.02816704398719594,0.02852068250067532,0.05668772648787126,1.1076020171185124,2.2014704662955396
ca-HepTh,8638,24806,5.74345913405881,dspar,nc_base,metis,1,0.5,0.49758526163025074,0.0008101674878530081,0.5,ok,1,12343,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.8758323383046157,0.6217740857476171,0.0027275365461987425,0.6265979235503809,,-0.10567879867175867,-0.1079453361276278,-0.1130916125208371,0.7297194218752449,10,0.04213228105800226,49.0,0.0,0.0,0.0,0.0,0.0209423477656865,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.0052261409582570195,0.036906140099745244,0.04213228105800226,1.4902454514008183,1.7012735559485437
ca-HepTh,8638,24806,5.74345913405881,kn,nc_base,metis,1,0.3483,0.3445134241715714,0.0006391840030792069,1.125,ok,1,8546,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9646168305534886,0.5269355419371748,0.0033189469767599985,0.532747797015946,,-0.20051734248220088,-0.20278387993807,-0.20871332742598547,0.7297194218752449,10,0.03194508901797235,49.0,0.0,0.0,0.0,0.0,0.02095392451956471,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.013000041013583541,0.018945048004388808,0.03194508901797235,1.9654802078812312,3.3141874430343696
ca-HepTh,8638,24806,5.74345913405881,ld,nc_base,metis,0,0.3483,0.34834314278803513,0.0,,ok,1,8641,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9565239841744566,0.593575676557512,0.003817883845857764,0.5993175948041637,,-0.13387720786186375,-0.13614374531773288,-0.14204227140756231,0.7297194218752449,10,0.08180581197957508,49.0,0.0,0.0,0.0,0.0,0.021220189858763602,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.06230916298227385,0.019496648997301236,0.08180581197957508,0.7675180856282586,3.220422146006726
ca-HepTh,8638,24806,5.74345913405881,lsim,nc_base,metis,0,0.3483,0.3443521728614045,0.0,,ok,1,8542,0.34818189147786827,0.275981617350641,0.34656937837619933,0.27255502700959444,0.31697976296057406,0.7274528844193757,0.0014254408347021792,0.7297194218752449,49,0.9715939519251798,0.5786223442539437,0.0012005479770949342,0.5805045313366789,,-0.14883054016543207,-0.1510970776213012,-0.1531749985466514,0.7297194218752449,10,0.08734894216177054,49.0,0.0,0.0,0.0,0.0,0.020953924519564713,0,0.0,0,,,,,,,,,,,0.06278744020382873,0.07355129095958546,0.013797651202185079,0.08734894216177054,0.7188116839188067,4.550589030246346
