arm,seed,gamma,Q,T,k,largest,frac_largest,n_comm_gt_1pct,top5_share,n_comm_ge20
probe,590,1.5,0.7268554768943973,92.49701971898321,5619,114159,0.10059036558609205,20,0.38026769114187275,323
probe,591,1.8315248944064597,0.7170125240573605,93.20708367403131,4999,74242,0.06541779379499335,16,0.3040990756813436,364
probe,592,1.6210646005539686,0.7184896464292977,90.81397221900988,4244,105050,0.09256403704323767,20,0.34018715470221783,331
kmatched,600,1.8315248944064597,0.7214891133518162,92.87916673300788,6149,90519,0.07976015296636678,18,0.3175347390495995,328
kmatched,601,1.8315248944064597,0.7241874025953171,92.70308140100678,6476,90903,0.08009851175003745,22,0.32764496999709225,313
kmatched,602,1.8315248944064597,0.7214767342928279,93.62365926499479,6327,91018,0.08019984315660549,16,0.31698314374080305,335
kmatched,603,1.8315248944064597,0.7235812326811016,92.97728009102866,6604,90512,0.07975398496770612,17,0.3287525663280142,323
kmatched,604,1.8315248944064597,0.7241870915842299,96.6865955980029,6412,91081,0.08025535514455145,19,0.3359162562010415,321
