direction,parent_comm,size_parent,n_pieces,cross_edges,intra_edges,cross_removed,intra_removed,cross_removal_rate,intra_removal_rate,removal_bias,dprod_ratio
seeded_merges_base,59,2105,2,37,2672,0,0,0.0,0.0,nan,1.6442929692937223
seeded_merges_base,62,2046,2,101,2155,0,0,0.0,0.0,nan,4.268675224846693
seeded_merges_base,63,2017,2,108,2486,0,0,0.0,0.0,nan,3.189945800019946
seeded_merges_base,64,1973,3,98,2088,0,0,0.0,0.0,nan,3.1724471060875854
seeded_merges_base,65,1896,2,74,2130,0,0,0.0,0.0,nan,5.122094857503417
seeded_merges_base,66,1887,3,104,1963,0,0,0.0,0.0,nan,7.398432458183651
seeded_merges_base,67,1814,3,105,1837,0,0,0.0,0.0,nan,5.222800575978944
seeded_merges_base,68,1797,2,146,1886,0,0,0.0,0.0,nan,2.6354219507479466
seeded_merges_base,69,1763,2,51,1896,0,0,0.0,0.0,nan,2.373081687051821
seeded_merges_base,70,1683,2,50,1818,0,0,0.0,0.0,nan,2.8103550516100335
seeded_merges_base,71,1667,2,53,1708,0,0,0.0,0.0,nan,4.960828831322338
seeded_merges_base,72,1606,2,66,1770,0,0,0.0,0.0,nan,3.794179408428659
seeded_merges_base,73,1539,2,76,1607,0,0,0.0,0.0,nan,4.1014542440375426
seeded_merges_base,74,1500,2,35,1685,0,0,0.0,0.0,nan,2.7715601951662316
seeded_merges_base,75,1469,2,45,1554,0,0,0.0,0.0,nan,3.0773426078755013
seeded_merges_base,76,1314,2,61,1447,0,0,0.0,0.0,nan,1.8697483802420407
seeded_merges_base,77,1052,2,65,1125,0,0,0.0,0.0,nan,3.777350057218103
seeded_merges_base,78,1029,3,54,1146,0,0,0.0,0.0,nan,6.150334225853739
seeded_merges_base,80,720,2,40,838,0,0,0.0,0.0,nan,5.105919550074226
seeded_merges_base,89,103,2,4,166,0,0,0.0,0.0,nan,0.6566620620369208
seeded_merges_base,90,100,2,1,99,0,0,0.0,0.0,nan,4.1874673629242825
seeded_merges_base,93,87,2,2,85,0,0,0.0,0.0,nan,5.2485750474984165
seeded_merges_base,118,47,2,2,51,0,0,0.0,0.0,nan,0.9922178988326849
seeded_merges_base,206,27,2,1,27,0,0,0.0,0.0,nan,0.1956521739130435
seeded_merges_base,211,26,2,2,23,0,0,0.0,0.0,nan,1.5376044568245126
seeded_merges_base,229,25,2,1,24,0,0,0.0,0.0,nan,4.515337423312883
seeded_merges_base,240,24,2,1,27,0,0,0.0,0.0,nan,1.651376146788991
seeded_merges_base,244,24,2,3,36,0,0,0.0,0.0,nan,1.364856230031949
