comparison,part_a,part_b,ami
extra-baseline,extra_915,base_104,0.6924214726593925
extra-baseline,extra_916,base_100,0.6895404942408481
extra-baseline,extra_916,base_101,0.7395034104354042
extra-baseline,extra_916,base_102,0.6837771281773354
extra-baseline,extra_916,base_103,0.6566132733377683
extra-baseline,extra_916,base_104,0.6984154311341336
extra-baseline,extra_917,base_100,0.7055823702072528
extra-baseline,extra_917,base_101,0.7083674192842423
extra-baseline,extra_917,base_102,0.6927464151956776
extra-baseline,extra_917,base_103,0.68026746034629
extra-baseline,extra_917,base_104,0.6981194764375672
extra-baseline,extra_918,base_100,0.689935327870286
extra-baseline,extra_918,base_101,0.7013831428508769
extra-baseline,extra_918,base_102,0.7152016441683529
extra-baseline,extra_918,base_103,0.7083498581515905
extra-baseline,extra_918,base_104,0.6759149304828973
extra-baseline,extra_919,base_100,0.711755446431747
extra-baseline,extra_919,base_101,0.6755713755351775
extra-baseline,extra_919,base_102,0.6785732143468239
extra-baseline,extra_919,base_103,0.6481775948015038
extra-baseline,extra_919,base_104,0.658467049892503
extra-seeded,extra_900,seeded_300,0.706494065784428
extra-seeded,extra_900,seeded_301,0.6896882785082478
extra-seeded,extra_900,seeded_302,0.6988905900909697
extra-seeded,extra_900,seeded_303,0.6900113841124558
extra-seeded,extra_900,seeded_304,0.6980201377213853
extra-seeded,extra_901,seeded_300,0.7125410142682354
extra-seeded,extra_901,seeded_301,0.6804258429347411
extra-seeded,extra_901,seeded_302,0.6952037361713556
extra-seeded,extra_901,seeded_303,0.7258626929905381
extra-seeded,extra_901,seeded_304,0.6948540906854478
extra-seeded,extra_902,seeded_300,0.7039800119257359
extra-seeded,extra_902,seeded_301,0.6726643353424065
extra-seeded,extra_902,seeded_302,0.6876787443501008
extra-seeded,extra_902,seeded_303,0.733353561639096
extra-seeded,extra_902,seeded_304,0.6956380595760854
extra-seeded,extra_903,seeded_300,0.6712270245523924
extra-seeded,extra_903,seeded_301,0.6474933030637379
extra-seeded,extra_903,seeded_302,0.7271652393336259
extra-seeded,extra_903,seeded_303,0.6809782596427384
extra-seeded,extra_903,seeded_304,0.7357681927086809
extra-seeded,extra_904,seeded_300,0.7166313316374572
extra-seeded,extra_904,seeded_301,0.7124540658406847
extra-seeded,extra_904,seeded_302,0.7112528352850953
extra-seeded,extra_904,seeded_303,0.7235768323641469
extra-seeded,extra_904,seeded_304,0.7279465456784664
extra-seeded,extra_905,seeded_300,0.688524600041744
extra-seeded,extra_905,seeded_301,0.7160495143750449
