kind,seed,spar_seed,alpha,retention,Q,k,seconds,Q_sparse_transfer
baseline,100,,,,0.6065817743086941,195,1.246236674953252,
baseline,101,,,,0.6093568592460408,150,1.264560181996785,
baseline,102,,,,0.6087988683670092,186,1.1867613340727985,
baseline,103,,,,0.6066655489707099,183,1.2236205000663176,
baseline,104,,,,0.6040834725759596,142,1.23368109902367,
seeded,300,200,0.9,0.8996134084762543,0.6132822834073972,163,2.3167017730884254,0.6116915154871337
seeded,301,201,0.9,0.8991045898756159,0.6142259390443754,167,2.279966678121127,0.610302161860342
seeded,302,202,0.9,0.900116696439929,0.6108857399379014,158,2.2366442498750985,0.6071998336416121
seeded,303,203,0.9,0.9000503287963675,0.6169009073123294,152,2.2521799789974466,0.6153597825107002
seeded,304,204,0.9,0.8997184905785599,0.6178757283337593,141,2.358964047045447,0.615028226007868
extra_restart,900,,,,0.605125368663654,185,1.2336653920356184,
extra_restart,901,,,,0.6028250701179156,191,1.2699220429640263,
extra_restart,902,,,,0.6003135680656569,163,1.2237848549848422,
extra_restart,903,,,,0.6021408887320483,203,1.239724716055207,
extra_restart,904,,,,0.6110536700512633,182,1.246502316906117,
extra_restart,905,,,,0.6149504483266287,206,1.2170851639239118,
extra_restart,906,,,,0.6046791958724604,185,1.2492106719873846,
extra_restart,907,,,,0.6117223845049846,159,1.2863506639841944,
extra_restart,908,,,,0.609330336239918,214,1.2052118279971182,
extra_restart,909,,,,0.6077983984511671,181,1.2394977409858257,
extra_restart,910,,,,0.6129999981043746,181,1.3004800890339538,
extra_restart,911,,,,0.6135720821956395,167,1.256906314054504,
extra_restart,912,,,,0.6014591131798354,212,1.2081557139754295,
extra_restart,913,,,,0.6094694825921259,190,1.1869889149675146,
extra_restart,914,,,,0.6121866102402718,163,1.2332943350775167,
extra_restart,915,,,,0.6059006131459496,173,1.2046889379853383,
extra_restart,916,,,,0.6092646150725788,159,1.21972136804834,
extra_restart,917,,,,0.6176893957784406,181,1.204748385003768,
extra_restart,918,,,,0.6080575483171178,184,1.2844179490348324,
extra_restart,919,,,,0.6147823266562595,210,1.2276500759180635,
