kind,part_a,part_b,kA,kB,dk,dQ,frac_moved,churn_ratio,sum_abs_dcontrib,ami,n_identical,n_merged_into,n_split,n_reshuffled
base_vs_seeded,base_100,seeded_300,195,163,-32,0.0067005090987035665,0.4173195631528965,39.859237413957345,0.2670771829596068,0.6487930235303492,105,68,22,0
base_vs_seeded,base_100,seeded_301,195,167,-28,0.007644164735681969,0.3424738841405508,28.571046311525972,0.21840178467610322,0.6925375966335615,112,62,21,0
base_vs_seeded,base_100,seeded_302,195,158,-37,0.004303965629207429,0.3217889363722697,54.94726820354863,0.23649115376691554,0.7052801649846534,111,61,23,0
base_vs_seeded,base_100,seeded_303,195,152,-43,0.010319133003635184,0.3837250712250712,30.537308407946448,0.3151185470346264,0.6747235821865436,108,67,20,0
base_vs_seeded,base_100,seeded_304,195,141,-54,0.011293954025064945,0.33431267806267806,22.13932263022916,0.25004049193188804,0.6953584948335908,96,77,22,0
base_vs_seeded,base_101,seeded_300,150,163,13,0.003925424161356328,0.37274453941120606,73.61187513987879,0.28895783323682545,0.6839288724087607,78,55,16,1
base_vs_seeded,base_101,seeded_301,150,167,17,0.00486907979833473,0.39764363722697055,49.79243746902292,0.24244335139026477,0.6739064621246508,85,44,19,2
base_vs_seeded,base_101,seeded_302,150,158,8,0.0015288806918601905,0.38310185185185186,190.55357635593782,0.29133368365549983,0.6901207571864902,92,41,16,1
base_vs_seeded,base_101,seeded_303,150,152,2,0.007544048066287945,0.3256469610636277,36.829817639250365,0.27784591454312435,0.7339344821959509,89,44,16,1
base_vs_seeded,base_101,seeded_304,150,141,-9,0.008518869087717706,0.30754392212725545,18.3377593065896,0.15621697089491382,0.7187219424610393,89,43,15,3
base_vs_seeded,base_102,seeded_300,186,163,-23,0.0044834150403884054,0.3505163817663818,61.49314065548642,0.27569927169552755,0.6846914269195642,102,66,18,0
base_vs_seeded,base_102,seeded_301,186,167,-19,0.005427070677366808,0.39823717948717946,36.59093307669596,0.19858157995802786,0.67654577245386,104,65,16,1
base_vs_seeded,base_102,seeded_302,186,158,-28,0.002086871570892268,0.34235517568850904,140.39202112201193,0.2929801176596335,0.7126063360173704,109,62,14,1
base_vs_seeded,base_102,seeded_303,186,152,-34,0.008102038945320023,0.38114316239316237,38.152430677391294,0.30911247920684665,0.6780776003282797,102,63,21,0
base_vs_seeded,base_102,seeded_304,186,141,-45,0.009076859966749784,0.3400106837606838,31.485939350154677,0.2857934624029307,0.7180956063930379,100,70,16,0
base_vs_seeded,base_103,seeded_300,183,163,-20,0.0066167344366874215,0.3367165242165242,31.939013554279118,0.21133197085842495,0.6921247117972213,100,68,15,0
base_vs_seeded,base_103,seeded_301,183,167,-16,0.007560390073665824,0.4316832858499525,46.041443813273624,0.34809127478311663,0.6574978852811547,102,61,20,0
base_vs_seeded,base_103,seeded_302,183,158,-25,0.004220190967191284,0.35677825261158597,66.09688565025597,0.27894147978068545,0.693848294420318,108,57,18,0
base_vs_seeded,base_103,seeded_303,183,152,-31,0.010235358341619039,0.3986229819563153,31.858935830941668,0.3260876246123345,0.6812662167540477,101,63,17,2
base_vs_seeded,base_103,seeded_304,183,141,-42,0.0112101793630488,0.33143399810066476,24.780320687700243,0.27779183958298853,0.7144932022692615,100,65,17,1
base_vs_seeded,base_104,seeded_300,142,163,21,0.009198810831438142,0.3778193257359924,33.34324059312544,0.3067181627232902,0.691680947125955,84,40,17,1
base_vs_seeded,base_104,seeded_301,142,167,25,0.010142466468416544,0.4451863722697056,20.108955473059915,0.20395440660039155,0.6440472082095332,82,36,23,1
base_vs_seeded,base_104,seeded_302,142,158,16,0.006802267361942005,0.33923907882241217,29.5974405955992,0.20132970416046175,0.7047789836427214,93,30,19,0
base_vs_seeded,base_104,seeded_303,142,152,10,0.01281743473636976,0.38316120607787274,21.512021252547964,0.27572892845193275,0.6790411456147538,88,33,20,1
base_vs_seeded,base_104,seeded_304,142,141,-1,0.01379225575779952,0.3130045109211776,12.726269316030647,0.17552396124933106,0.7299601173373671,88,35,19,0
base_vs_base,base_100,base_101,195,150,-45,0.0027750849373472386,0.39155982905982906,85.50958515297245,0.2372963617568249,0.6633383986750664,97,78,20,0
base_vs_base,base_100,base_102,195,186,-9,0.002217094058315161,0.35657051282051283,117.0223137457895,0.2594494764960825,0.6997670165172614,120,50,24,1
base_vs_base,base_100,base_103,195,183,-12,8.377466201614503e-05,0.3041310541310541,2245.46496164595,0.18811306823098553,0.7118080764926088,128,45,21,1
base_vs_base,base_100,base_104,195,142,-53,-0.002498301732734576,0.44687796771130106,114.34533591733452,0.28566915085239397,0.6388720224763652,95,80,20,0
base_vs_base,base_101,base_102,150,186,36,-0.0005579908790320776,0.41147317188983856,506.6295540295008,0.2826946701965506,0.6710336505087365,98,32,19,1
base_vs_base,base_101,base_103,150,183,33,-0.0026913102753310936,0.4466702279202279,110.52223160490577,0.29744961757080585,0.6407132666009951,93,39,16,2
base_vs_base,base_101,base_104,150,142,-8,-0.005273386670081814,0.3043091168091168,48.461059770688664,0.25555390661278765,0.7303193362408963,92,40,17,1
base_vs_base,base_102,base_103,186,183,-3,-0.002133319396299016,0.33956552706552706,98.42566643795824,0.2099733833057534,0.7203138369590313,121,50,14,1
base_vs_base,base_102,base_104,186,142,-44,-0.004715395791049737,0.37817545109211775,49.682182088252624,0.23427115230911305,0.6825835972631532,102,68,16,0
base_vs_base,base_103,base_104,183,142,-41,-0.002582076394750721,0.4575914055080722,118.21413717361901,0.30523793312182534,0.6458628170641539,91,77,15,0
