deg_bin,n_nodes,mean_deg,frac_moved
"[1,2]",9464,1.0,0.29015215553677093
"[2,3]",3486,2.0,0.35054503729202524
"[3,4]",4654,3.0,0.33712935109583153
"[4,6]",5261,4.40448583919407,0.3164797567002471
"[6,9]",3817,6.706313859051611,0.30128373067854336
"[9,19]",3533,12.28700820832154,0.2909708463062553
"[19,1383]",3481,68.6710715311692,0.2823901177822465
