arm,mu,d_nom,lfr_seed,noise_pct,detector,sparsifier,target_ret,realized_ret,status,m_clean,m_noisy,n_added,d_avg_clean,d_avg_noisy,k_planted,m_sparse,AMI_base,ARI_base,Q_noisy_base,Q_clean_base,nc_base,AMI,ARI,Q_noisy_transfer,Q_clean_transfer,nc_sparse,cv_sparse,AMI_chance,dAMI,dARI,dQ_noisy,dQ_clean
C,0.5,25,1,0,leiden,lspar,0.5,0.49893,ok,118093,118093,0,23.6186,23.6186,91,58920,0.755248385781402,0.682987453073491,0.3798409949438528,0.3798409949438528,31.0,0.7670183161792669,0.7512901152381102,0.375600614022818,0.375600614022818,38.333333333333336,0.5305374022977937,-0.0004249143750768678,0.011769930397864892,0.06830266216461922,-0.004240380921034792,-0.004240380921034792
C,0.5,25,1,0,metis,lspar,0.5,0.49893,ok,118093,118093,0,23.6186,23.6186,91,58920,0.5362535136266315,0.2986453079265616,0.22161687048708964,0.22161687048708964,91,0.573093696969486,0.3179694000619374,0.21893275386876612,0.21893275386876612,91,0.028151731740694033,-0.0008590916844214779,0.03684018334285444,0.019324092135375837,-0.0026841166183235177,-0.0026841166183235177
C,0.5,25,1,0,leiden,lspar,0.2,0.19936,ok,118093,118093,0,23.6186,23.6186,91,23543,0.755248385781402,0.682987453073491,0.3798409949438528,0.3798409949438528,31.0,0.6962219793243203,0.6891913925445087,0.35572105216764655,0.35572105216764655,49.666666666666664,0.6535308875627153,-0.0007734720187478491,-0.05902640645708168,0.0062039394710177165,-0.02411994277620627,-0.02411994277620627
C,0.5,25,1,0,metis,lspar,0.2,0.19936,ok,118093,118093,0,23.6186,23.6186,91,23543,0.5362535136266315,0.2986453079265616,0.22161687048708964,0.22161687048708964,91,0.5576563980450334,0.2900923573664943,0.19636351434495258,0.19636351434495258,91,0.02016630853676498,0.0005402245725152439,0.02140288441840188,-0.008552950560067274,-0.025253356142137057,-0.025253356142137057
C,0.5,25,1,0,leiden,dspar,0.5,0.50111,ok,118093,118093,0,23.6186,23.6186,91,59177,0.755248385781402,0.682987453073491,0.3798409949438528,0.3798409949438528,31.0,0.33035903402353356,0.1916105471947697,0.2869209093987531,0.2869209093987531,16.0,0.6748216196734687,-6.381952682232605e-05,-0.4248893517578684,-0.4913769058787213,-0.09292008554509973,-0.09292008554509973
C,0.5,25,1,0,metis,dspar,0.5,0.50111,ok,118093,118093,0,23.6186,23.6186,91,59177,0.5362535136266315,0.2986453079265616,0.22161687048708964,0.22161687048708964,91,0.38833420481113157,0.2008647470327857,0.18701057612186192,0.18701057612186192,91,0.021178762947821103,-0.00038529991350437487,-0.14791930881549997,-0.09778056089377588,-0.03460629436522772,-0.03460629436522772
C,0.5,25,1,0,leiden,dspar,0.2,0.19963,ok,118093,118093,0,23.6186,23.6186,91,23575,0.755248385781402,0.682987453073491,0.3798409949438528,0.3798409949438528,31.0,0.08099587142536359,0.032087457364110436,0.11620382721823115,0.11620382721823115,251.66666666666666,3.0644180832916597,0.000874643990818847,-0.6742525143560384,-0.6508999957093805,-0.2636371677256217,-0.2636371677256217
C,0.5,25,1,0,metis,dspar,0.2,0.19963,ok,118093,118093,0,23.6186,23.6186,91,23575,0.5362535136266315,0.2986453079265616,0.22161687048708964,0.22161687048708964,91,0.10451945218953951,0.02334935227367769,0.09659397676362304,0.09659397676362304,91,0.015758807061449796,7.362387807666753e-05,-0.43173406143709203,-0.2752959556528839,-0.1250228937234666,-0.1250228937234666
C,0.5,25,1,10,leiden,lspar,0.5,0.504,ok,118093,129902,11809,23.6186,25.9804,91,65471,0.7113394594426997,0.6137488071770415,0.3454465628848234,0.3741146665766703,28.333333333333332,0.7447250581318664,0.7181277738788202,0.3422672442158583,0.37230482037522833,36.0,0.5196051722025045,0.0011320609154290562,0.033385598689166684,0.10437896670177871,-0.003179318668965092,-0.001809846201441978
C,0.5,25,1,10,metis,lspar,0.5,0.504,ok,118093,129902,11809,23.6186,25.9804,91,65471,0.5253481101415163,0.29415271992599784,0.20616216618419694,0.2157834823554958,91,0.5406887200727208,0.3031729657549027,0.20127202658110896,0.2122837740007089,91,0.026793655965545275,-0.0011671057338785568,0.015340609931204563,0.009020245828904871,-0.004890139603087984,-0.0034997083547868846
C,0.5,25,1,10,leiden,lspar,0.2,0.1975,ok,118093,129902,11809,23.6186,25.9804,91,25656,0.7113394594426997,0.6137488071770415,0.3454465628848234,0.3741146665766703,28.333333333333332,0.6616730479253815,0.6452597142428429,0.32069571768787064,0.34688843886854387,48.333333333333336,0.6398068257115387,-0.000835462434355637,-0.04966641151731821,0.0315109070658014,-0.024750845196952753,-0.027226227708126438
C,0.5,25,1,10,metis,lspar,0.2,0.1975,ok,118093,129902,11809,23.6186,25.9804,91,25656,0.5253481101415163,0.29415271992599784,0.20616216618419694,0.2157834823554958,91,0.5393034180366281,0.28300768674063737,0.1808669256639031,0.19159344710078333,91,0.019430903221415108,0.0017215342478716941,0.01395530789511179,-0.011145033185360476,-0.025295240520293832,-0.024190035254712472
C,0.5,25,1,10,leiden,dspar,0.5,0.50272,ok,118093,129902,11809,23.6186,25.9804,91,65304,0.7113394594426997,0.6137488071770415,0.3454465628848234,0.3741146665766703,28.333333333333332,0.23652744803920703,0.10971569912073399,0.23560451202489116,0.242121436926221,14.666666666666666,0.8425055636083679,0.0011474155678169702,-0.4748120114034927,-0.5040331080563075,-0.10984205085993223,-0.1319932296504493
C,0.5,25,1,10,metis,dspar,0.5,0.50272,ok,118093,129902,11809,23.6186,25.9804,91,65304,0.5253481101415163,0.29415271992599784,0.20616216618419694,0.2157834823554958,91,0.3022709020542242,0.14405462873842811,0.16311792776419234,0.1624378142006082,91,0.019617339269126177,0.0005980703078437904,-0.2230772080872921,-0.15009809118756973,-0.0430442384200046,-0.05334566815488759
C,0.5,25,1,10,leiden,dspar,0.2,0.20049,ok,118093,129902,11809,23.6186,25.9804,91,26044,0.7113394594426997,0.6137488071770415,0.3454465628848234,0.3741146665766703,28.333333333333332,0.05072040466252775,0.017293971392050734,0.10074382559956074,0.09392894375306964,140.66666666666666,2.485531069264265,0.000655287305257294,-0.660619054780172,-0.5964548357849908,-0.24470273728526265,-0.28018572282360066
