sampler,alpha,n_seeds,retention,Q_raw_mean,Q_seeded_mean,Q_seeded_std,Q_seeded_best,Q_seeded_min,T_pipe_mean,restarts_equiv,gain_vs_base_mean,gain_vs_bo2_mean,gain_vs_bo5_mean,gain_vs_bo10,z_vs_base,z_vs_bo2,z_vs_bo5,z_vs_bo10,p_bo2_ge,p_bo5_ge,p_bo10_ge,p_base_ge,n_seeds_above_bo2mean,n_seeds_above_base_best
calibrated,0.7,5,0.7000454541803118,0.7033430053962574,0.719605222916669,0.003299609192993869,0.7252818545107823,0.7173850118737303,118.26267115501687,1.7326739769592576,-0.004729113080058078,-0.00682234458406572,-0.008605709471912526,-0.009154152537347193,-1.3439889593137486,-1.9388742968069754,-2.44569717862829,-2.601561801080356,0.9777777777777777,1.0,1.0,0.8,0,0
calibrated,0.8,5,0.8000081000822059,0.7208141289078377,0.725127653222984,0.004001827749243332,0.729187351718149,0.7208860954580185,114.84238741681911,1.6825631806351649,0.0007933172262569732,-0.001299914277750669,-0.0030832791655974745,-0.0036317222310321418,0.22545656559129792,-0.36942877190192897,-0.8762516537232435,-1.0321162761753098,0.6666666666666666,0.9761904761904762,1.0,0.4,2,2
calibrated,0.9,5,0.9000042843410014,0.7265835279146156,0.7286813010297049,0.0012298414067860987,0.7296785014602922,0.7271736506866164,111.41345532238483,1.6323256766894014,0.004346965032977823,0.002253733528970181,0.0004703686411233754,-7.807442431129186e-05,1.2353845027476844,0.6404991652544575,0.13367628343314297,-0.02218833901892329,0.2,0.5,1.0,0.1,5,3
calibrated,0.95,5,0.9500174051353183,0.7278556322302672,0.7294840057051575,0.00043144039515967576,0.729969113928811,0.72878757357532,112.89389109080658,1.6540156360438771,0.005149669708430449,0.0030564382044228067,0.001273073316576001,0.0007246302511413338,1.4635089318181362,0.8686235943249092,0.3618007125035947,0.20593609005152846,0.0,0.0,0.0,0.0,5,5
repo_noreplace,0.7,5,0.47556379249865444,0.5968475434585627,0.7254879322118225,0.0004606144882913664,0.7261042910031589,0.7249738802419142,104.78724554535002,1.5352446524371077,0.001153596215095476,-0.0009396352889121662,-0.0027230001767589718,-0.003271443242193639,0.327845951312166,-0.26703938618106093,-0.7738622680023755,-0.9297268904544417,0.6666666666666666,0.9761904761904762,1.0,0.4,0,0
repo_noreplace,0.8,5,0.5021593748075395,0.6233918444410053,0.7246074473183179,0.0008378519872513857,0.7253324003712092,0.7231886640954848,104.33370522581973,1.5285998041390183,0.0002731113215909131,-0.001820120182416729,-0.0036034850702635346,-0.004151928135698202,0.07761679508777278,-0.5172685424054542,-1.0240914242267687,-1.1799560466788348,0.7777777777777778,0.996031746031746,1.0,0.5,0,0
repo_noreplace,0.9,5,0.5241649551616937,0.6415994913221317,0.7245561873394586,0.0010840542487757763,0.7254787713784053,0.7233764127964547,104.52938799117692,1.5314667648795668,0.00022185134273156049,-0.0018713801612760816,-0.0036547450491228872,-0.0042031881145575545,0.06304897983883395,-0.531836357654393,-1.0386592394757075,-1.1945238619277738,0.7777777777777778,0.996031746031746,1.0,0.5,0,0
repo_noreplace,0.95,5,0.534723512731187,0.6494485741462256,0.7245022051626338,0.001102110506169493,0.7256722053588772,0.7233045074053087,102.87266679501627,1.5071940364215592,0.00016786916590671996,-0.0019253623381009222,-0.0037087272259477277,-0.004257170291382395,0.047707530306098915,-0.5471778071871279,-1.0540006890084426,-1.2098653114605087,0.7777777777777778,0.996031746031746,1.0,0.5,0,0
