network,algo,arm,seed,k,giant_share,top3_share,Q_orig
ca-CondMat,labelprop,baseline,101,1564,0.027103,0.054814,0.6205954952964211
ca-CondMat,labelprop,baseline,102,1526,0.028273,0.062585,0.6274214927413805
ca-CondMat,labelprop,dspar_0.5,100,2193,0.004634,0.012124,0.49308762958688546
ca-CondMat,labelprop,dspar_0.5,101,2174,0.003838,0.01086,0.49249026602332396
ca-CondMat,labelprop,dspar_0.5,102,2211,0.003932,0.010298,0.49139665271732363
email-Enron,infomap,baseline,100,1217,0.043981,0.118471,0.5304353214842447
email-Enron,infomap,baseline,101,1205,0.055704,0.140402,0.5362590162897451
email-Enron,infomap,baseline,102,1255,0.049205,0.125297,0.5266551833027531
email-Enron,infomap,dspar_0.5,100,1461,0.036058,0.059977,0.3607718787664963
email-Enron,infomap,dspar_0.5,101,1460,0.036058,0.06069,0.3635892427287839
email-Enron,infomap,dspar_0.5,102,1442,0.036058,0.058909,0.35857825808087224
email-Enron,louvain,baseline,100,167,0.149751,0.333274,0.6017147062795162
email-Enron,louvain,baseline,101,171,0.147139,0.367521,0.61021583861073
email-Enron,louvain,baseline,102,176,0.133369,0.385951,0.6066594563873108
email-Enron,louvain,dspar_0.5,100,72,0.093275,0.243026,0.5615080583990167
email-Enron,louvain,dspar_0.5,101,79,0.084461,0.221896,0.5606874896324241
email-Enron,louvain,dspar_0.5,102,79,0.077012,0.207028,0.5489306457394038
email-Enron,labelprop,baseline,100,895,0.658654,0.754422,0.30745756344079067
email-Enron,labelprop,baseline,101,895,0.658387,0.749169,0.3029120523633906
email-Enron,labelprop,baseline,102,898,0.648208,0.751276,0.3188679128867562
email-Enron,labelprop,dspar_0.5,100,1196,0.370934,0.438895,0.41308594210016675
email-Enron,labelprop,dspar_0.5,101,1211,0.348647,0.432989,0.43757532304642544
email-Enron,labelprop,dspar_0.5,102,1397,0.084639,0.207888,0.4915291684543749
com-DBLP,infomap,baseline,100,14273,0.001974,0.003926,0.730548991838175
com-DBLP,infomap,baseline,101,14306,0.001602,0.003608,0.7300964820040312
com-DBLP,infomap,baseline,102,14318,0.002186,0.005043,0.730710933693526
com-DBLP,infomap,dspar_0.5,100,23169,0.000369,0.001053,0.5973176742273287
com-DBLP,infomap,dspar_0.5,101,23225,0.000344,0.000987,0.5962918302553819
com-DBLP,infomap,dspar_0.5,102,23135,0.00041,0.001148,0.5992616813381586
com-DBLP,louvain,baseline,100,202,0.06892,0.154677,0.8208458990819893
com-DBLP,louvain,baseline,101,240,0.079292,0.161906,0.8212744594558619
com-DBLP,louvain,baseline,102,219,0.062549,0.14825,0.821327320623374
com-DBLP,louvain,dspar_0.5,100,3064,0.026025,0.05077,0.7344709558315566
com-DBLP,louvain,dspar_0.5,101,3061,0.028583,0.052573,0.7351751412221458
com-DBLP,louvain,dspar_0.5,102,3062,0.02934,0.055046,0.7355082073834496
com-DBLP,labelprop,baseline,100,24643,0.013277,0.025672,0.6857763206452225
com-DBLP,labelprop,baseline,101,20884,0.273612,0.276202,0.6786564582076071
com-DBLP,labelprop,baseline,102,24254,0.037104,0.054731,0.6928298906986838
