dataset,algo,condition,spar_seed,algo_seed,k,k_ge3,AMI,ARI,NMI,avgF1_ge3,gt2det,det2gt_ge3,realized_ret,e_used,resolution,notes
email-Eu-core,louvain,dspar_0.8,201,300,9,,0.5916033851919286,0.3937169511620762,0.6180968489631288,,,,0.8021,,1.0,
email-Eu-core,louvain,dspar_0.8,201,301,8,,0.5659148585333994,0.32988101840109707,0.5913458881670719,,,,0.8021,,1.0,
email-Eu-core,louvain,dspar_0.8,201,302,8,,0.5566906076804382,0.3050561746562011,0.5823707109592235,,,,0.8021,,1.0,
email-Eu-core,louvain,chance_dspar_0.8,,11,8,,0.009057878215436152,0.0026432728793466787,0.06711561975077454,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_dspar_0.8,,12,8,,0.0027006235127450358,-0.0007898537560251063,0.06113082660995394,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_dspar_0.8,,13,8,,-0.0005975502397717894,-0.0006560955754262057,0.05802588767413601,,,,,,,size-matched random partition
email-Eu-core,louvain,dspar_0.5,200,300,8,,0.5543739656545794,0.29662080713271965,0.580121519312245,,,,0.4999,,1.0,
email-Eu-core,louvain,dspar_0.5,200,301,10,,0.588300510721511,0.3962992823791876,0.61707386783345,,,,0.4999,,1.0,
email-Eu-core,louvain,dspar_0.5,200,302,11,,0.6006405770607554,0.40804673197372165,0.6309100359721337,,,,0.4999,,1.0,
email-Eu-core,louvain,dspar_0.5,201,300,9,,0.583863976096589,0.36622447825118914,0.6105987131627587,,,,0.5027,,1.0,
email-Eu-core,louvain,dspar_0.5,201,301,9,,0.5791640145963941,0.36014044002230217,0.6061824265678317,,,,0.5027,,1.0,
email-Eu-core,louvain,dspar_0.5,201,302,10,,0.5824180205269284,0.3569150162453446,0.6117408052100045,,,,0.5027,,1.0,
email-Eu-core,louvain,chance_dspar_0.5,,11,8,,0.006642913870746204,0.002205221152267255,0.06403748444134728,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_dspar_0.5,,12,8,,0.001676205971959556,-0.0023164112519317766,0.059357744915747815,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_dspar_0.5,,13,8,,0.004308932076750511,0.0010376634892111669,0.06183835635168058,,,,,,,size-matched random partition
email-Eu-core,louvain,lspar_0.5,,300,11,,0.6056107448668049,0.40363596419074066,0.635500495314001,,,,0.5021,0.7266,1.0,
email-Eu-core,louvain,lspar_0.5,,301,12,,0.6222775371759194,0.4289347680291775,0.6530161713119953,,,,0.5021,0.7266,1.0,
email-Eu-core,louvain,lspar_0.5,,302,13,,0.6006069487043794,0.3850147267236613,0.6354009876207881,,,,0.5021,0.7266,1.0,
email-Eu-core,louvain,chance_lspar_0.5,,11,11,,0.006780531361401005,0.0012545618687572857,0.08205408831182659,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_lspar_0.5,,12,11,,-0.0010348232804127202,0.00017749428532850376,0.07483103936003796,,,,,,,size-matched random partition
email-Eu-core,louvain,chance_lspar_0.5,,13,11,,-0.004347307121113336,-0.0021699607041957645,0.07176960017653895,,,,,,,size-matched random partition
email-Eu-core,louvain,resmatch_dspar_0.5,,100,10,,0.5683236003660862,0.35556646598477754,0.5987715954803238,,,,1.0,,1.25,granularity control for dspar_0.5 (k=9.5)
email-Eu-core,louvain,resmatch_dspar_0.5,,101,11,,0.594721972809228,0.4353145553929208,0.625843899315567,,,,1.0,,1.25,granularity control for dspar_0.5 (k=9.5)
email-Eu-core,louvain,resmatch_dspar_0.5,,102,11,,0.6143829392903318,0.460539697476653,0.643666740550883,,,,1.0,,1.25,granularity control for dspar_0.5 (k=9.5)
email-Eu-core,louvain,resmatch_lspar_0.5,,100,12,,0.5996873461794626,0.3959501084616753,0.6327173878445386,,,,1.0,,1.375,granularity control for lspar_0.5 (k=12.0)
email-Eu-core,louvain,resmatch_lspar_0.5,,101,11,,0.594721972809228,0.4353145553929208,0.625843899315567,,,,1.0,,1.25,granularity control for lspar_0.5 (k=12.0)
email-Eu-core,louvain,resmatch_lspar_0.5,,102,11,,0.6143829392903318,0.460539697476653,0.643666740550883,,,,1.0,,1.25,granularity control for lspar_0.5 (k=12.0)
email-Eu-core,labelprop,baseline,,100,1,,0.0,0.0,0.0,,,,1.0,,1.0,
email-Eu-core,labelprop,baseline,,101,1,,0.0,0.0,0.0,,,,1.0,,1.0,
email-Eu-core,labelprop,baseline,,102,1,,0.0,0.0,0.0,,,,1.0,,1.0,
email-Eu-core,labelprop,chance_baseline,,11,1,,0.0,0.0,0.0,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_baseline,,12,1,,0.0,0.0,0.0,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_baseline,,13,1,,0.0,0.0,0.0,,,,,,,size-matched random partition
email-Eu-core,labelprop,dspar_0.8,200,300,2,,0.13418044237363005,0.014211084870499,0.14473482578327931,,,,0.8013,,1.0,
email-Eu-core,labelprop,dspar_0.8,200,301,2,,0.13162648469336313,0.01361833835012877,0.1422095976118567,,,,0.8013,,1.0,
email-Eu-core,labelprop,dspar_0.8,200,302,2,,0.1275705692923114,0.012986788936967232,0.1382031127955943,,,,0.8013,,1.0,
email-Eu-core,labelprop,dspar_0.8,201,300,2,,0.1275705692923114,0.012986788936967232,0.1382031127955943,,,,0.8021,,1.0,
email-Eu-core,labelprop,dspar_0.8,201,301,2,,0.13005700906923462,0.013568220872155277,0.14066165733566077,,,,0.8021,,1.0,
email-Eu-core,labelprop,dspar_0.8,201,302,2,,0.1275705692923114,0.012986788936967232,0.1382031127955943,,,,0.8021,,1.0,
email-Eu-core,labelprop,chance_dspar_0.8,,11,2,,0.0009694512478861559,-0.0001900810766497498,0.013147683255475278,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_dspar_0.8,,12,2,,0.0017619719355685055,-0.0030601904235858977,0.013930543076613091,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_dspar_0.8,,13,2,,-0.0024752075089202958,-0.0010354219248655111,0.00974501505999827,,,,,,,size-matched random partition
email-Eu-core,labelprop,dspar_0.5,200,300,3,,0.16575916035174276,0.01818001544102971,0.18351002524695478,,,,0.4999,,1.0,
email-Eu-core,labelprop,dspar_0.5,200,301,2,,0.12913264336549357,0.013037377603089739,0.13974348283893212,,,,0.4999,,1.0,
email-Eu-core,labelprop,dspar_0.5,200,302,2,,0.1275705692923114,0.012986788936967232,0.1382031127955943,,,,0.4999,,1.0,
email-Eu-core,labelprop,dspar_0.5,201,300,4,,0.21897463291635347,0.0261209742315655,0.24264843542588058,,,,0.5027,,1.0,
email-Eu-core,labelprop,dspar_0.5,201,301,5,,0.30503697722388645,0.04713536539765069,0.332117330980915,,,,0.5027,,1.0,
email-Eu-core,labelprop,dspar_0.5,201,302,7,,0.41717919273428977,0.09449879506724561,0.44815934249224954,,,,0.5027,,1.0,
email-Eu-core,labelprop,chance_dspar_0.5,,11,3,,0.001201883357002065,-0.000349847301986806,0.022454175960655274,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_dspar_0.5,,12,3,,0.0013932642645050118,-0.0038636740381302985,0.02264148469083106,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_dspar_0.5,,13,3,,-0.0014310699561491441,-0.0008753289437967845,0.019877246275593112,,,,,,,size-matched random partition
email-Eu-core,labelprop,lspar_0.5,,300,14,,0.5236580612127147,0.17547383403177583,0.56756803744105,,,,0.5021,0.7266,1.0,
email-Eu-core,labelprop,lspar_0.5,,301,11,,0.43626150134408276,0.08997298869196732,0.4807288989117693,,,,0.5021,0.7266,1.0,
email-Eu-core,labelprop,lspar_0.5,,302,11,,0.4972796243326758,0.14254679857880706,0.5364228241205962,,,,0.5021,0.7266,1.0,
email-Eu-core,labelprop,chance_lspar_0.5,,11,14,,0.006219342500158369,0.001488409122129473,0.09782766310718326,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_lspar_0.5,,12,14,,-0.001962938237349625,-0.003241353386817308,0.0903996383430045,,,,,,,size-matched random partition
email-Eu-core,labelprop,chance_lspar_0.5,,13,14,,-0.004585336730610978,-0.0017335431910121262,0.08801897681666546,,,,,,,size-matched random partition
com-DBLP,infomap,baseline,,100,14273,14268,,,,0.3261742377567712,0.49451785985245134,0.157830615661091,1.0,,1.0,
