network,algo,arm,target_ret,spar_seed,algo_seed,realized_ret,m_sparse,Q_native,Q_orig,k,t_detect
email-Eu-core,infomap,baseline,1.0,,100,1.0,16064,0.402892854239789,0.402892854239789,15,0.03466788900550455
email-Eu-core,infomap,baseline,1.0,,101,1.0,16064,0.3166801133054933,0.3166801133054933,16,0.03154573997016996
email-Eu-core,infomap,baseline,1.0,,102,1.0,16064,0.3230067272927712,0.3230067272927712,15,0.03154359199106693
email-Eu-core,infomap,dspar,0.8,200,300,0.801295,12872,0.46009105261114747,0.3990471734048617,17,0.025079790968447924
email-Eu-core,infomap,dspar,0.8,200,301,0.801295,12872,0.4705285917931339,0.4096121370004297,13,0.027817507041618228
email-Eu-core,infomap,dspar,0.8,200,302,0.801295,12872,0.46494466986895105,0.40400092894420825,16,0.026855228003114462
email-Eu-core,infomap,dspar,0.8,201,300,0.802104,12885,0.46196343312810617,0.40042701300128175,17,0.027144127001520246
email-Eu-core,infomap,dspar,0.8,201,301,0.802104,12885,0.4643465183862078,0.4019240382376123,15,0.02710259798914194
email-Eu-core,infomap,dspar,0.8,201,302,0.802104,12885,0.46471251537247266,0.40202099540396674,14,0.02808733598794788
email-Eu-core,infomap,dspar,0.5,200,300,0.499938,8031,0.5013223878873923,0.38414627331684226,20,0.022399752982892096
email-Eu-core,infomap,dspar,0.5,200,301,0.499938,8031,0.500220801101001,0.38483449868975306,21,0.02566231699893251
email-Eu-core,infomap,dspar,0.5,200,302,0.499938,8031,0.5044491476117767,0.39119501087098313,20,0.025927904003765434
email-Eu-core,infomap,dspar,0.5,201,300,0.502677,8075,0.5045764763392726,0.3800662308900604,20,0.02532116399379447
email-Eu-core,infomap,dspar,0.5,201,301,0.502677,8075,0.507081145223284,0.38487854987234826,20,0.02424641401739791
email-Eu-core,infomap,dspar,0.5,201,302,0.502677,8075,0.5043347027192824,0.38342811019058726,23,0.0320620839484036
email-Eu-core,infomap,lspar,0.5,,300,0.502054,8065,0.6574486435959537,0.35235372783021307,27,0.019728060986381024
email-Eu-core,infomap,lspar,0.5,,301,0.502054,8065,0.6605990923867568,0.3620551332394527,25,0.018920088012237102
email-Eu-core,infomap,lspar,0.5,,302,0.502054,8065,0.6591797811412159,0.3611437998162976,26,0.02086113201221451
email-Eu-core,louvain,baseline,1.0,,100,1.0,16064,0.4122440939212523,0.4122440939212523,7,0.005909791972953826
email-Eu-core,louvain,baseline,1.0,,101,1.0,16064,0.412987310128262,0.412987310128262,8,0.012004287971649319
email-Eu-core,louvain,baseline,1.0,,102,1.0,16064,0.415309908972799,0.415309908972799,7,0.011835369048640132
email-Eu-core,louvain,dspar,0.8,200,300,0.801295,12872,0.4762984470896886,0.4134277037610266,8,0.011685421981383115
email-Eu-core,louvain,dspar,0.8,200,301,0.801295,12872,0.47708284124492384,0.4144606444118943,9,0.005084340053144842
email-Eu-core,louvain,dspar,0.8,200,302,0.801295,12872,0.472624423689231,0.4107047923377457,8,0.006510620005428791
email-Eu-core,louvain,dspar,0.8,201,300,0.802104,12885,0.4726839061221706,0.4091514044512933,9,0.012900146015454084
email-Eu-core,louvain,dspar,0.8,201,301,0.802104,12885,0.4749664120787919,0.4131530886693516,8,0.009598865988664329
email-Eu-core,louvain,dspar,0.8,201,302,0.802104,12885,0.4716625911826494,0.4110777693508834,8,0.00548856396926567
email-Eu-core,louvain,dspar,0.5,200,300,0.499938,8031,0.5053385383537683,0.39631525411054985,8,0.0048851059982553124
