network,n,m,sampler,alpha,rep,sparsify_seed,leiden_seed,m_sparse,retention,weight_sum_ratio,Q_P0_orig,Q_P0_sparse_w,dQ_fixed_w,Q_sparse_leiden_w,Q_orig_of_Pw,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_Pw,nc_base_mean,t_sparsify,t_leiden_sparse,t_leiden_orig_mean,ami_Pw,ari_Pw,ami_base_mean,ari_base_mean,ami_base_std,ari_base_std,nc_Pw_orig_labels
ca-GrQc,4158,13422,paper,0.8,0,200,300,6077,0.4527641186112353,0.9925542156626277,0.8513623535140842,0.8559351230790375,0.004572769564953338,0.8967440338160407,0.7768761240211263,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07369925622682305,-0.07526305399890731,42,193,41.4,0.0024316039634868503,0.08778395503759384,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,0.8,1,201,301,6098,0.45432871405155717,1.0104732755381296,0.8513623535140842,0.8558474082068902,0.004485054692806023,0.8925001863624425,0.7735246989948696,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07705068125307968,-0.07861447902516394,42,194,41.4,0.002465741941705346,0.08987536397762597,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,0.8,2,202,302,6097,0.4542542095067799,1.00519541728701,0.8513623535140842,0.8455863689652481,-0.0057759845488360995,0.8899295461441259,0.7679063724444355,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.08266900780351383,-0.08423280557559809,42,199,41.4,0.002498298999853432,0.0897160810418427,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,0.8,3,203,303,6085,0.45336015496945314,1.0012626033840148,0.8513623535140842,0.8561310801259826,0.004768726611898422,0.9002629956741296,0.7757251087376698,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07485027151027956,-0.07641406928236383,42,202,41.4,0.0025212879991158843,0.09009789407718927,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,0.8,4,204,304,6140,0.45745790493220084,0.9950277152968761,0.8513623535140842,0.8552676620541229,0.0039053085400386767,0.8920330189179728,0.7787615047684366,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07181387547951268,-0.07337767325159694,42,194,41.4,0.0024935159599408507,0.08925966802053154,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,1.0,0,200,300,6870,0.5118462226195798,0.9960285753113579,0.8513623535140842,0.8547650439745594,0.003402690460475255,0.8786862272734018,0.7976905078767554,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05288487237119388,-0.054448670143278144,42,114,41.4,0.002768915961496532,0.09150336496531963,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,1.0,1,201,301,6853,0.5105796453583669,1.0070729992975456,0.8513623535140842,0.859234837950711,0.007872484436626803,0.8859873396867771,0.8008224992001682,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04975288104778108,-0.05131667881986535,42,130,41.4,0.002725898986682296,0.09146223310381174,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,1.0,2,202,302,6852,0.5105051408135897,1.0005170650992914,0.8513623535140842,0.8472927908971948,-0.0040695626168893995,0.8772267031685513,0.7924731164710428,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.058102263776906526,-0.05966606154899079,42,115,41.4,0.0027688160771504045,0.08977825101464987,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,1.0,3,203,303,6839,0.5095365817314856,1.005050145852591,0.8513623535140842,0.85509136703368,0.0037290135195958696,0.8808381742541636,0.7991626720529318,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05141270819501753,-0.052976505967101795,42,131,41.4,0.002780335023999214,0.09028850100003183,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,paper,1.0,4,204,304,6879,0.5125167635225749,0.9937401498108928,0.8513623535140842,0.8557527991304281,0.004390445616343941,0.883528617036274,0.8014855630042346,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.04908981724371475,-0.050653615015799014,42,131,41.4,0.002756797941401601,0.09052387904375792,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,calibrated,0.9,0,200,300,12061,0.8985993145581881,0.9968457613709126,0.8513623535140842,0.8506113203509839,-0.0007510331631003231,0.8501040550432489,0.8516560419699833,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.0010806617220340264,-0.00048313605005023685,42,44,41.4,0.0025947840185835958,0.10479323600884527,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,calibrated,0.9,1,201,301,12107,0.9020265236179407,1.0042134702338341,0.8513623535140842,0.851780687339557,0.0004183338254728497,0.8510108125730506,0.8513585899854481,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.0007832097374987912,-0.0007805880345854721,42,42,41.4,0.0026461920933797956,0.10678527399431914,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,calibrated,0.9,2,202,302,12078,0.899865891819401,1.001373349163982,0.8513623535140842,0.8507960888524472,-0.000566264661637006,0.8492324042314682,0.849923147968113,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.0006522322798363511,-0.0022160300519206144,42,44,41.4,0.0026628689374774694,0.1030935540329665,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,calibrated,0.9,3,203,303,12043,0.8972582327521978,0.9951074185223338,0.8513623535140842,0.8511681842254173,-0.00019416928866688998,0.8501715727064512,0.8511489397917792,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.0005735595438298713,-0.000990238228254392,42,41,41.4,0.0026722679613158107,0.10132682998664677,0.10381046836264432,,,,,,,
ca-GrQc,4158,13422,calibrated,0.9,4,204,304,12064,0.8988228281925198,0.9965220495882082,0.8513623535140842,0.851075890956914,-0.0002864625571701307,0.850809233353811,0.851662628145097,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.0010872478971476474,-0.00047654987493661594,42,43,41.4,0.002658499055542052,0.10387980996165425,0.10381046836264432,,,,,,,
email-Eu-core,986,16064,paper,0.8,0,200,300,7180,0.4469621513944223,1.0163653759882179,0.41585277609990806,0.4093760131031348,-0.006476762996773244,0.4754311147492648,0.3748746822812089,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.04117375314789151,-0.041555694242452534,8,7,8.0,0.0027001609560102224,0.04640388593543321,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,0.8,1,201,301,7138,0.444347609561753,0.9977042620646055,0.41585277609990806,0.4098036159400005,-0.006049160159907585,0.4789311186636333,0.37416299071641723,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.041885444712683184,-0.04226738580724421,8,9,8.0,0.002777240937575698,0.04528386995662004,0.05763329260516912,,,,,,,
email-Eu-core,986,16064,paper,0.8,2,202,302,7143,0.4446588645418327,0.9924308083989605,0.41585277609990806,0.42781176003870386,0.011958983938795797,0.5021652821878464,0.38333642327787953,0.4160484354291004,0.0004801794430347517,0.41643037652366144,-0.03271201215122088,-0.033093953245781904,8,8,8.0,0.002810252015478909,0.04508470091968775,0.05763329260516912,,,,,,,
