network,n,m,alpha,inv_alpha,secs
ca-GrQc,4158,13422,0.0018672428649847417,535.5489737046988,0.04372668266296387
email-Eu-core,986,16064,0.2121495510835446,4.713655979437823,0.014005184173583984
wiki-Vote,7066,100736,0.10055460335964239,9.944845552454838,0.09227943420410156
ca-HepTh,8638,24806,0.003121407212113736,320.3683249398357,0.053362369537353516
ca-CondMat,21363,91286,0.007186413365602107,139.151472247132,0.2245032787322998
email-Enron,33696,180811,0.0035269395315923324,283.5319378295445,0.4296126365661621
com-DBLP,317080,1049866,0.0026789120404336897,373.2858656449615,8.891762971878052
com-Amazon,334863,925872,9.27448379418605e-05,10782.271252949688,20.663978815078735
