network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
ca-GrQc,4158,13422,calibrated,0.9,False,1,201,301,12107,0.9020265236179407,0.8513623535140842,0.8511365157335257,-0.00022583778055851322,0.8511983627391041,0.8497717825099654,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.0008035977379838855,-0.0023673955100681487,42,45,41.4,0.10075387498363853,,,,
ca-GrQc,4158,13422,calibrated,0.9,False,2,202,302,12078,0.899865891819401,0.8513623535140842,0.8506708039845111,-0.0006915495295730656,0.8502567287626295,0.850694191183391,0.8505753802479493,0.001062273245902081,0.8521391780200336,0.00011881093544163779,-0.0014449868366426255,42,43,41.4,0.1015260920394212,,,,
ca-GrQc,4158,13422,calibrated,0.9,False,3,203,303,12043,0.8972582327521978,0.8513623535140842,0.8505828525587844,-0.0007795009552997723,0.849663936037442,0.8498806694977726,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.0006947107501766858,-0.002258508522260949,42,42,41.4,0.10305460600648075,,,,
ca-GrQc,4158,13422,calibrated,0.9,False,4,204,304,12064,0.8988228281925198,0.8513623535140842,0.8506317702305216,-0.0007305832835625692,0.8489022537129564,0.8480256273430326,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.002549752904916769,-0.004113550677001032,42,42,41.4,0.10516937100328505,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,True,0,200,300,6905,0.5144538816867829,0.8513623535140842,0.8518656607715822,0.0005033072574980313,0.8876156129451053,0.7909962811896334,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05957909905831593,-0.061142896830400195,42,66,41.4,0.08874649100471288,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,False,0,200,300,6905,0.5144538816867829,0.8513623535140842,0.874085868995853,0.022723515481768874,0.8962305437244156,0.7964896924499912,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05408568779795808,-0.055649485570042345,42,76,41.4,0.0911382989725098,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,True,1,201,301,6901,0.514155863507674,0.8513623535140842,0.848968020793204,-0.002394332720880188,0.8852379506625275,0.7860738965850278,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.06450148366292152,-0.06606528143500578,42,72,41.4,0.08634625398553908,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,False,1,201,301,6901,0.514155863507674,0.8513623535140842,0.8728503737028466,0.02148802018876239,0.8944078403149726,0.7759358885450205,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.07463949170292883,-0.07620328947501309,42,78,41.4,0.09325357608031482,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,True,2,202,302,6807,0.5071524362986142,0.8513623535140842,0.8475840867908989,-0.003778266723185264,0.8859211482817325,0.7962802587424834,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.05429512150546589,-0.055858919277550156,42,65,41.4,0.08610864693764597,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,False,2,202,302,6807,0.5071524362986142,0.8513623535140842,0.8737498529467275,0.022387499432643287,0.8978223900339891,0.7953023047161057,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.055273075531843574,-0.05683687330392784,42,83,41.4,0.09453039907384664,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,True,3,203,303,6817,0.5078974817463865,0.8513623535140842,0.8504746835715588,-0.0008876699425254264,0.8840276131457719,0.7969745992458158,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.0536007810021335,-0.055164578774217765,42,72,41.4,0.08702953497413546,,,,
ca-GrQc,4158,13422,calibrated_matched,0.5118,False,3,203,303,6817,0.5078974817463865,0.8513623535140842,0.8734103721100909,0.02204801859600669,0.8954388356267212,0.7825941341220802,0.8505753802479493,0.001062273245902081,0.8521391780200336,-0.06798124612586909,-0.06954504389795335,42,80,41.4,0.09406768495682627,,,,
