n_nodes,mu,partition,n_seeds,delta_mean,delta_std,mu_intra_mean,mu_intra_std,mu_inter_mean,mu_inter_std,hb_ratio_mean,hb_ratio_std,n_communities_mean,n_communities_std,Q_mean,Q_std,nmi_planted_leiden_mean,nmi_planted_leiden_std,frac_inter_edges_mean,frac_inter_edges_std,degree_mean_mean,degree_mean_std,degree_max_mean,degree_max_std,degree_cv_mean,degree_cv_std
10000,0.1,leiden,3,-0.002796028130996766,0.00027126568981874333,0.11138754609211377,0.0010099641577870529,0.11418357422311054,0.001169357063862192,0.9421344584020619,0.0071684351946179805,148.0,4.58257569495584,0.8453122887180013,0.0006152872617396777,0.9671096221227341,0.005575249272792208,0.14732377952944517,0.0007566315124080971,17.8902,0.165040479882966,57.0,2.6457513110645907,0.40587898056228994,0.00601041247382773
10000,0.1,planted,3,-0.0029812016013868923,0.00027793186291818117,0.11135377208918647,0.0010074432365061892,0.11433497369057337,0.0011748780963744523,0.9385737882990098,0.007233047928885362,223.66666666666666,6.8068592855540455,0.8445545954984466,0.0004977253719655561,0.9671096221227341,0.005575249272792208,0.14949504418254628,0.00042353661095653896,17.8902,0.165040479882966,57.0,2.6457513110645907,0.40587898056228994,0.00601041247382773
10000,0.2,leiden,3,-0.004158095204939362,7.611154226964701e-05,0.10907727520097772,0.0005109946337266774,0.1132353704059171,0.0005788195436151295,0.915985505332083,0.0029623999946345,116.66666666666667,4.163331998932265,0.690852271476247,0.0004784340785978435,0.9390976030567818,0.0025648848860086652,0.29998504330212733,0.000757990054750099,18.128600000000002,0.0869498706151999,56.333333333333336,1.5275252316519465,0.4040422774863659,0.0026421681613902847
10000,0.2,planted,3,-0.004347108037437685,0.0001192587836812386,0.10899716058107489,0.0004950733093703937,0.11334426861851259,0.0006111429605556296,0.9120152475139817,0.003703570136749715,231.66666666666666,3.0550504633038935,0.688942263889857,0.0004713664266932528,0.9390976030567818,0.0025648848860086652,0.3053694002180754,0.0005017277260815312,18.128600000000002,0.0869498706151999,56.333333333333336,1.5275252316519465,0.4040422774863659,0.0026421681613902847
10000,0.3,leiden,3,-0.005732655532166671,0.00014088390284014345,0.10669624987783739,0.00047723278766166795,0.11242890541000407,0.0005600403832206379,0.8929547732384965,0.0014722709976884222,87.33333333333333,3.214550253664318,0.5439439025655834,0.0004614282571859708,0.9021080410358503,0.006308377332337847,0.443362019780698,0.00039127771990043336,18.308933333333332,0.08576767067685354,56.666666666666664,1.5275252316519465,0.39876669930816727,0.002975367540056827
10000,0.3,planted,3,-0.005994370698433986,0.00011900890159219608,0.10651609545532363,0.00047254272983599866,0.1125104661537576,0.0005519802043617918,0.8882722138591047,0.001426411722620878,229.33333333333334,10.969655114602888,0.5403986424332895,0.0007500040457000761,0.9021080410358503,0.006308377332337847,0.45405107823110374,0.0010108419909146981,18.308933333333332,0.08576767067685354,56.666666666666664,1.5275252316519465,0.39876669930816727,0.002975367540056827
10000,0.4,leiden,3,-0.006766779675715077,8.199082397721433e-05,0.10284859612765325,0.0004426721088586522,0.10961537580336833,0.0004972882869156951,0.876250326643635,0.0007322679019300898,68.0,1.0,0.4189865371678609,0.0005063052853993549,0.8508216844082254,0.005883019102464248,0.5648321006009519,0.0006821176884669348,18.749533333333336,0.08318469410494535,60.0,1.0,0.400381973791282,0.0037563231217988425
10000,0.4,planted,3,-0.007499242628387613,9.740393549181142e-05,0.10230528813794294,0.0004228380906827145,0.10980453076633057,0.0005126289571364036,0.8655981105602556,0.0006004254401590204,228.66666666666666,8.020806277010642,0.41222506847015095,0.00026074418451679327,0.8508216844082254,0.005883019102464248,0.5821187234430885,0.0002638583437756065,18.749533333333336,0.08318469410494535,60.0,1.0,0.400381973791282,0.0037563231217988425
10000,0.5,leiden,3,-0.006960039817510343,0.00010491494883886274,0.10116908966897808,0.000100610026971824,0.10812912948648844,0.00020305656454156054,0.8690086356075253,0.0019636492074935363,48.333333333333336,2.0816659994661326,0.3098020553379376,0.00045463010530670224,0.6728131400432158,0.007840301531066093,0.6663233706358959,0.0024142934381223675,18.9024,0.032600000000001454,60.0,2.0,0.40736201371512265,0.0036461486834359915
10000,0.5,planted,3,-0.010161724823638594,9.157826992987566e-05,0.09866871906336,0.0002280269811118802,0.10883044388699858,0.0001476330181830696,0.8280823582068142,0.0019078985148450907,236.0,3.605551275463989,0.292173762391989,0.0012105335817468468,0.6728131400432158,0.007840301531066093,0.7024624113262633,0.0011956720316700176,18.9024,0.032600000000001454,60.0,2.0,0.40736201371512265,0.0036461486834359915
