network,chain,chain_seed,spe,spe_nom,accepted,ami_P0,final,stalled,fresh_n,fresh_m,fresh_n_comms,fresh_Q,fresh_p_intra,fresh_sd_s,fresh_mu_s,fresh_delta,fresh_mu_intra,fresh_mu_inter,fresh_r_pb,fresh_auc_s,fresh_auc_prod,fresh_hb,fresh_deg_R2,fresh_hub_inter_frac,fresh_nonhub_inter_frac,fresh_hub_inter_lift,fresh_assort_deg,fresh_transitivity,fresh_avg_local_cc,fresh_tri_intra,fresh_tri_inter,fresh_tri_frac_intra_ge1,fresh_tri_frac_inter_ge1,fresh_comm_size_mean,fresh_comm_size_max_frac,fresh_comm_size_gini,seconds
ca-GrQc,up,1,0.0,0.0,0,1.0,0,0,4158,13422,42,0.8513623535140842,0.8959171509462077,0.28700993739820324,0.3097898971837282,0.08723506953795679,0.3188695717586444,0.2316345022206876,0.09281489735988588,0.5235911226462407,0.4671170327863241,0.47820995409767336,0.20120241734161926,0.1005940594059406,0.10618729096989966,0.9664806480648065,0.639186140675376,0.6288944756689877,0.5568782161697932,11.728316008316009,1.6492483894058698,0.9212474012474012,0.7816750178954903,99.0,0.06132756132756133,0.3693052978767266,0.1
ca-GrQc,up,1,0.01,0.01,134,0.7545571466392158,0,0,4158,13422,43,0.8361450222804229,0.8814632692594249,0.2864910821861625,0.3097898971837282,0.08364089375938816,0.3197044152861859,0.23606352152679771,0.09437047467269173,0.5215278592747717,0.46588453636354993,0.4994607670136116,0.19507013438582232,0.12458243269797603,0.11484459378375135,1.051002772892668,0.6269554567010083,0.596935753491372,0.5233515997975082,11.314090102273688,1.3802639849151477,0.9111655819457358,0.6631049654305469,96.69767441860465,0.075998075998076,0.40257503048200727,0.1
ca-GrQc,up,1,0.02,0.02,268,0.718333407814334,0,0,4158,13422,38,0.8207211493723202,0.8672329012069736,0.28615930949405666,0.3097898971837282,0.08341981716969443,0.3208653042911932,0.23744548712149877,0.0989178025571226,0.5207415410307735,0.4631748469806889,0.508936522721318,0.2004308231156261,0.1469499122977977,0.12398986853214329,1.106824760303614,0.6148823656474082,0.5639371882116015,0.49049021476974847,10.86168384879725,1.1795735129068463,0.9012027491408935,0.5785634118967452,109.42105263157895,0.06782106782106782,0.3714336345915292,0.1
ca-GrQc,up,1,0.05,0.05,671,0.6517503523790183,0,0,4158,13422,38,0.7775804090105224,0.8225301743406348,0.28510778165780093,0.3097898971837282,0.08916758194854954,0.32561445240660447,0.23644687045805493,0.11949124864149745,0.5303685210029326,0.4500230632217476,0.5674201501864015,0.13484572793216998,0.21179164281625643,0.15548221488815547,1.1933952266497876,0.5729416012546649,0.4641385755465757,0.4088146192654094,9.407518115942029,0.8089840470193115,0.8706521739130435,0.4193954659949622,109.42105263157895,0.06060606060606061,0.27381585276322107,0.1
ca-GrQc,up,1,0.1,0.1,1342,0.5257572828455046,0,0,4158,13422,39,0.7039281397171038,0.7493667113693935,0.2841938031876106,0.3097898971837282,0.10872160571411837,0.3370391507690578,0.22831754505493945,0.1657936255190791,0.5547663031232171,0.4225663565115434,0.660604902628503,0.12584115272567098,0.3219367954167437,0.20247160154787167,1.2844933614992666,0.510582161434915,0.32774801574243484,0.30268023450741527,7.241300457347386,0.5549940546967895,0.8154702724199642,0.316884661117717,106.61538461538461,0.05844155844155844,0.27769761103094437,0.2
ca-GrQc,up,1,0.15,0.15,2013,0.4327747891445928,0,0,4158,13422,38,0.643448101306464,0.6896140664580539,0.28278913454072496,0.3097898971837282,0.11752265844365781,0.3462672772370942,0.2287446187934364,0.19227063448359627,0.5645746361768791,0.41253621322713274,0.7022049938583373,0.08709633742194067,0.40007169743681664,0.24658931531301798,1.2889491893895708,0.4549694876588471,0.23483342766509152,0.21638334838360768,5.598206568712187,0.40950552088334136,0.7472990492653414,0.2597215554488718,109.42105263157895,0.0545935545935546,0.2479810637705373,0.2
ca-GrQc,up,1,0.2,0.2,2684,0.3445966891419178,0,0,4158,13422,32,0.5881986571818641,0.645209357770824,0.2811859567583868,0.3097898971837282,0.12636706032164838,0.35462374767185884,0.22825668735021046,0.2150189133460593,0.5750608527090428,0.4024749920705974,0.7400553808489257,0.0705983388890945,0.4529689963215975,0.28212109425645016,1.2767219379732215,0.40997026299244116,0.16902057309833757,0.15906414504552513,4.254157043879908,0.35321293574128515,0.6855658198614318,0.2272154556908862,129.9375,0.06565656565656566,0.23690776815776826,0.2
ca-GrQc,up,1,0.3,0.3,4027,0.21280670229041718,0,0,4158,13422,33,0.49627667117823815,0.5767396811205484,0.28012021185807884,0.3097898971837282,0.14265771059733123,0.37017124526176715,0.2275135346644359,0.25161961750750617,0.5875004016338591,0.39380627947745234,0.7882210830819689,0.07541471299758273,0.5222576852007391,0.34435667425358146,1.233892387038254,0.3273476359195975,0.08750477143195609,0.08101643149508417,2.343883219222323,0.3168456257701109,0.5388192739956078,0.20647773279352227,126.0,0.08104858104858105,0.31702304429577155,0.2
ca-GrQc,up,1,0.4,0.4,5369,0.11856734310304881,0,0,4158,13422,31,0.43138746746296264,0.5604976903591119,0.2821593422787518,0.3097898971837282,0.146402289292964,0.37413404146469936,0.22773175217173536,0.2575259085562466,0.5839676897949188,0.40026033516428583,0.7302343599239968,0.09561559757829996,0.5231199605068291,0.37031994554118447,1.1902553161421698,0.29320653718474654,0.04916220236136522,0.044513235810582245,1.2534892994815898,0.3008984573656552,0.41113917320217996,0.1988472622478386,134.1290322580645,0.12987012987012986,0.38785706527642017,0.2
ca-GrQc,up,1,0.5,0.5,6711,0.06890544942635,0,0,4158,13422,52,0.40156124767613166,0.5470123677544331,0.2838374457130002,0.3097898971837282,0.14670279987746893,0.3762444511440181,0.22954165126654918,0.2572826248976942,0.5724633148862349,0.4128485265021721,0.6489937328282256,0.11406083197656702,0.5212455400583846,0.39498346196251377,1.1506838221486249,0.26131067715746004,0.032340436734102904,0.02564363892993215,0.8112230999727594,0.23273026315789475,0.3388722418959412,0.17615131578947368,79.96153846153847,0.1341991341991342,0.6534576534576535,0.2
