network,variant,delta_real,delta_null,delta0_check,up_degenerate_p0,up_spe_stop,up_spe_end,up_stalled,up_delta_end,up_r_end,up_auc_end,up_p_end,up_hublift_end,up_neutral_at_end,up_neutral_2sd,up_separated,up_delta_max,up_delta_min,up_P2_corr_hublift_delta,down_degenerate_p0,down_spe_stop,down_spe_end,down_stalled,down_delta_end,down_r_end,down_auc_end,down_p_end,down_hublift_end,down_neutral_at_end,down_neutral_2sd,down_separated,down_delta_max,down_delta_min,down_P2_corr_hublift_delta,P1_target_delta,P1_frac_of_gap_end,P1_frac_of_gap_max,P1_dir_ok,P3_partial_corr_triratio_delta,P4_fresh_delta_up_end,P4_ami_up_end,P4_fresh_delta_up_max,P4_fresh_delta_down_end,P4_ami_down_end,untestable_letter
ca-GrQc,literal,0.0872350695379567,0.18899591213469114,0.0872350695379567,1,3.2441,2.5,1,1.306277607308638,0.0771895697941653,0.9716303215929277,0.00044702726866335005,1.0004472327497913,-0.0750684698046164,0.005529860838305867,True,1.4052286885682337,0.0308146096623794,-0.5611751076206879,0,0.6474,0.64225,1,-0.5045798932959018,-0.6656726442686465,0.043775017276729,0.8454775741320221,0.14423105414208942,-0.006685099233962785,0.008503516438242204,True,0.0872350695379567,-0.507509277913791,0.9976745484789313,0.11267528018714032,11.97948549425436,12.951874074523163,True,-0.8791696621671307,0.05797223996956665,0.03802225931598195,0.1765325317826394,-0.2779889754721136,0.5660772890589935,down
email-Eu-core,literal,0.03400028641615,0.041288108369142554,0.03400028641615,0,2.7837,2.77775,1,0.9013486618826373,0.2506249174925229,0.9942217401175584,0.0011516434262948,1.0011529799874053,-0.0021005417441296898,0.003190364894990969,True,0.9649409362348778,0.0250195405297341,-0.5618272945072396,0,1.8994,1.89805,1,-0.0545987946998608,-0.25580433714401785,0.21016733807943605,0.7760831673306773,1.0919209292702274,-0.00214167507749864,0.0065421082171548545,True,0.03400028641615,-0.0554317408956996,0.9088788659073556,0.03582224190439814,119.01338713555336,127.73921424307866,True,-0.8502491738341234,0.023170938775962352,-0.00015305406553300016,0.0395445390167372,-0.026861288308802703,0.638168114767336,down
ca-GrQc,pfix,0.0872350695379567,0.18899591213469114,0.0872350695379567,0,0.9536,0.94475,1,0.2503668763732987,0.2587563749976297,0.7881566379991577,0.8959171509462077,1.8180800450410424,-0.013618723505809534,0.001986678356835904,True,0.2504534459438245,0.0872350695379567,0.9575621691543831,0,0.8259,0.82265,1,-0.8744906085491435,-0.8466645604460867,0.0019002406403981,0.8959171509462077,0.06086259811290855,-0.005116812839623773,0.0035030374204764116,True,0.0872350695379567,-0.8745953525603664,0.9268824497867582,0.11267528018714032,1.6030901737106587,1.6039408896473268,True,-0.8708228015017989,0.1910799035527883,0.9441986365007458,0.1995262357597348,-0.3264595365049475,0.5404702173912064,"up,down"
email-Eu-core,pfix,0.03400028641615,0.041288108369142554,0.03400028641615,0,1.3738,1.3719000000000001,1,0.0692088580263081,0.3494383156030427,0.9807574205146199,0.584910358565737,2.139958630047058,0.02101964454949051,0.0019221912194913717,True,0.0692143216323223,0.03400028641615,0.9740199025607521,0,2.0,2.0,0,-0.04076927171882695,-0.22567961006261628,0.17389491051342726,0.584910358565737,0.9021593170905569,0.018756015745905297,0.003130139147297303,True,0.03400028641615,-0.0411938624911346,0.9964305565121578,0.03582224190439814,4.831151452005579,4.831901141837388,True,-0.9969430282785463,0.0416887740821336,0.824146638019838,0.0544704710092778,-0.011580089247431199,0.5087068646155746,up
