network,graph,arm,n,m,m_arm,n_runs,target_ret,e_used,realized_ret,status,ret_core,frac_core,n_fill,Q_base_mean,Q_base_std,Q_base_best,nc_base,T_leiden_orig,Q_native_mean,Q_native_std,Q_orig_mean,Q_orig_std,Q_orig_best,Q_pre_refine_mean,nc_arm_mean,nc_arm_std,dQ_honest_vs_mean,dQ_honest_vs_best,T_jaccard,T_prep,T_leiden_arm,T_arm_total,budget,n_restarts,Q_matched_best,dQ_vs_matched,pooled_sd,sig_2sd,meanJ,deltaJ,notes
email-Eu-core,real,A_baseline,986,16064,16064,5,1.0,,1.0,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.0584507871999449,0.4160484354291004,0.00042948555040947707,0.4160484354291004,0.00042948555040947707,0.41643037652366144,,8.0,0.0,0.0,-0.00038194109456102243,,,0.0584507871999449,0.0584507871999449,,,,,,,,,
email-Eu-core,real,B_weight,986,16064,16064,3,1.0,,1.0,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.0584507871999449,0.4160905110416155,0.00027386499165281826,0.4160905110416155,0.00027386499165281826,0.4163164499156016,,7.333333333333333,0.4714045207910317,4.207561251506897e-05,-0.00033986548204595346,0.021122230000401032,7.61499995860504e-06,0.05769179833320474,0.07882164333356437,0.07882164333356437,2,0.4173622891247511,-0.0012717780831356107,0.0003601804212221492,0,0.16453655635255474,0.09160591896757657,"w=1+J, weighted Leiden, scored unweighted"
email-Eu-core,real,C_seed,986,16064,8065,3,0.5,0.726562,0.502054,ok,,,,0.4160484354291004,0.00042948555040947707,0.41643037652366144,8.0,0.0584507871999449,0.4168221611086365,0.0006958771919556387,0.4168221611086365,0.0006958771919556387,0.4173363118120149,0.38792988270606155,8.0,0.0,0.0007737256795360969,0.0003917845849750745,0.021122230000401032,0.0093906939991939,0.07769508599964563,0.10820800999924056,0.10820800999924056,2,0.4173622891247511,-0.0005401280161145827,0.0005782313137035197,0,0.16453655635255474,0.09160591896757657,Leiden on L-Spar@0.5 then optimise on G from that membership
email-Eu-core,null,A_baseline,986,16064,16064,5,1.0,,1.0,ok,,,,0.1261661133727044,0.0013433783995831017,0.12772091763982418,10.2,0.08461759020010504,0.1261661133727044,0.0013433783995831017,0.1261661133727044,0.0013433783995831017,0.12772091763982418,,10.2,0.9797958971132713,0.0,-0.0015548042671197915,,,0.08461759020010504,0.08461759020010504,,,,,,,,,
email-Eu-core,null,B_weight,986,16064,16064,3,1.0,,1.0,ok,,,,0.1261661133727044,0.0013433783995831017,0.12772091763982418,10.2,0.08461759020010504,0.1246360844646398,0.0011361148231458828,0.1246360844646398,0.0011361148231458828,0.12622701774140985,,11.0,0.0,-0.0015300289080645985,-0.00308483317518439,0.02121426000030624,5.902000339119695e-06,0.09027300566655565,0.111493167667201,0.111493167667201,2,0.12758375541348052,-0.0029476709488407277,0.001244070419196248,0,0.06478673241802388,-0.00889224803844308,"w=1+J, weighted Leiden, scored unweighted"
email-Eu-core,null,C_seed,986,16064,8023,3,0.5,0.679688,0.49944,ok,,,,0.1261661133727044,0.0013433783995831017,0.12772091763982418,10.2,0.08461759020010504,0.12630758803576364,0.0012080798862270192,0.12630758803576364,0.0012080798862270192,0.12793900732354446,0.10562769271209486,10.0,0.816496580927726,0.00014147466305924894,-0.0014133296040605425,0.02121426000030624,0.008376239999961399,0.11110284233291168,0.14069334233317932,0.14069334233317932,2,0.12758375541348052,-0.0012761673777168803,0.0012775215332769822,0,0.06478673241802388,-0.00889224803844308,Leiden on L-Spar@0.5 then optimise on G from that membership
ca-CondMat,real,A_baseline,21363,91286,91286,5,1.0,,1.0,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7584941855999204,0.7307902175437482,0.0010974583478194013,0.7307902175437482,0.0010974583478194013,0.7324642748961809,,55.2,3.1240998703626612,0.0,-0.0016740573524327562,,,0.7584941855999204,0.7584941855999204,,,,,,,,,
ca-CondMat,real,B_weight,21363,91286,91286,3,1.0,,1.0,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7584941855999204,0.7291436303450736,0.0008731883560045819,0.7291436303450736,0.0008731883560045819,0.7299997491243924,,64.33333333333333,1.247219128924647,-0.0016465871986746095,-0.0033206445511073657,0.0509504769997875,2.655400021467358e-05,0.7365999123330766,0.7875769433330788,0.7875769433330788,2,0.7293820280333824,-0.00023839768830880015,0.0009916836013216298,0,0.22651137325897247,0.17775830796554387,"w=1+J, weighted Leiden, scored unweighted"
ca-CondMat,real,C_seed,21363,91286,45385,3,0.5,0.5,0.497174,ok,,,,0.7307902175437482,0.0010974583478194013,0.7324642748961809,55.2,0.7584941855999204,0.72200205684381,0.000714159910162213,0.72200205684381,0.000714159910162213,0.7227887253401781,0.6634735868100281,50.0,2.160246899469287,-0.008788160699938152,-0.010462218052370909,0.0509504769997875,0.052691582999614184,1.1291279353332964,1.232769995332698,1.232769995332698,2,0.7293820280333824,-0.007379971189572343,0.0009258615453947177,0,0.22651137325897247,0.17775830796554387,Leiden on L-Spar@0.5 then optimise on G from that membership
ca-CondMat,null,A_baseline,21363,91286,91286,5,1.0,,1.0,ok,,,,0.3128089686440934,0.00042150248320472285,0.31328917348634855,32.4,1.7474374703999274,0.3128089686440934,0.00042150248320472285,0.3128089686440934,0.00042150248320472285,0.31328917348634855,,32.4,3.006659275674582,0.0,-0.0004802048422551386,,,1.7474374703999274,1.7474374703999274,,,,,,,,,
ca-CondMat,null,B_weight,21363,91286,91286,3,1.0,,1.0,ok,,,,0.3128089686440934,0.00042150248320472285,0.31328917348634855,32.4,1.7474374703999274,0.31453294736786735,0.00038844050201756927,0.31453294736786735,0.00038844050201756927,0.3148122927966484,,31.0,0.816496580927726,0.0017239787237739446,0.001243773881518806,0.058079071999600274,0.00011736200031009503,1.7162857786667398,1.7744822126666502,1.7744822126666502,1,0.3122577780101203,0.0022751693577470755,0.00040530875080326657,1,0.0007431651409730708,0.00012460971727913076,"w=1+J, weighted Leiden, scored unweighted"
ca-CondMat,null,C_seed,21363,91286,45487,3,0.5,0.40625,0.498291,ok,,,,0.3128089686440934,0.00042150248320472285,0.31328917348634855,32.4,1.7474374703999274,0.29965760694557625,0.0008321046141620496,0.29965760694557625,0.0008321046141620496,0.3007107699030156,0.2632038783600011,43.666666666666664,0.4714045207910317,-0.013151361698517161,-0.0136315665407723,0.058079071999600274,0.057475909999993746,2.179415814333576,2.29497079633317,2.29497079633317,2,0.3148186224682091,-0.015161015522632826,0.0006595689623752474,0,0.0007431651409730708,0.00012460971727913076,Leiden on L-Spar@0.5 then optimise on G from that membership
email-Enron,real,A_baseline,33696,180811,180811,5,1.0,,1.0,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.4392961621999347,0.6070973046936826,0.0018727666339110201,0.6070973046936826,0.0018727666339110201,0.6093568592460408,,171.2,21.103554203024665,0.0,-0.002259554552358156,,,1.4392961621999347,1.4392961621999347,,,,,,,,,
email-Enron,real,B_weight,33696,180811,180811,3,1.0,,1.0,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.4392961621999347,0.6153404750020331,0.003380240928464329,0.6153404750020331,0.003380240928464329,0.6194738289186026,,196.33333333333334,8.498365855987974,0.008243170308350534,0.0059836157559923775,0.3134203310000885,6.639699950028444e-05,1.3501683479998974,1.6636550759994861,1.6636550759994861,2,0.605125368663654,0.010215106338379187,0.0027325156540773743,1,0.1102391233989402,0.07722595456349811,"w=1+J, weighted Leiden, scored unweighted"
email-Enron,real,C_seed,33696,180811,91382,3,0.5,0.630932,0.505401,ok,,,,0.6070973046936826,0.0018727666339110201,0.6093568592460408,171.2,1.4392961621999347,0.615401104994516,0.001770745081223284,0.615401104994516,0.001770745081223284,0.6169883763863692,0.5851803795767809,143.66666666666666,11.67142760000773,0.00830380030083333,0.006044245748475174,0.3134203310000885,0.10965531300098519,1.8251884376668386,2.2482640816679123,2.2482640816679123,2,0.605125368663654,0.010275736330861984,0.0018224698910773351,1,0.1102391233989402,0.07722595456349811,Leiden on L-Spar@0.5 then optimise on G from that membership
email-Enron,null,A_baseline,33696,180811,180811,5,1.0,,1.0,ok,,,,0.24208080662859519,0.00047893889013884175,0.24268133126285807,142.4,2.5961393000001407,0.24208080662859519,0.00047893889013884175,0.24208080662859519,0.00047893889013884175,0.24268133126285807,,142.4,2.33238075793812,0.0,-0.0006005246342628834,,,2.5961393000001407,2.5961393000001407,,,,,,,,,
