dataset,graph,condition,seed,n_clusters,n_clusters_ge3,AMI,ARI,NMI,avgF1_ge3,gt2det,det2gt_ge3,realized_ret,e_used,resolution,notes
com-DBLP,real,C_seed,301,195,195,,,,0.13905480671103695,0.017837956830149004,0.2602716565919249,1.0,0.375,1.0,seeded from L-Spar ret=0.503
com-DBLP,real,C_seed,302,170,170,,,,0.12726394960147025,0.015580891762551823,0.23894700744038866,1.0,0.375,1.0,seeded from L-Spar ret=0.503
com-DBLP,real,chance_C_seed,11,172,172,,,,0.019969066938214264,0.0038524378918376088,0.03608569598459092,,,,size-matched random partition
com-DBLP,real,chance_C_seed,12,172,172,,,,0.0198027245532729,0.003980152616372643,0.03562529649017316,,,,size-matched random partition
com-DBLP,real,chance_C_seed,13,172,172,,,,0.017591357654841162,0.003841318571301035,0.03134139673838129,,,,size-matched random partition
com-DBLP,real,L_lspar05,300,10950,10950,,,,0.19307070045662453,0.26699402895091173,0.11914737196233731,0.503,0.375,1.0,
com-DBLP,real,L_lspar05,301,10948,10948,,,,0.19285526720701787,0.2666630506327648,0.11904748378127096,0.503,0.375,1.0,
com-DBLP,real,L_lspar05,302,10945,10945,,,,0.19292973519778198,0.2667920368538468,0.11906743354171719,0.503,0.375,1.0,
com-DBLP,real,chance_L_lspar05,11,10950,10950,,,,0.09010262419052187,0.11534387379959701,0.06486137458144671,,,,size-matched random partition
com-DBLP,real,chance_L_lspar05,12,10950,10950,,,,0.0892867691961254,0.1143752561687158,0.06419828222353499,,,,size-matched random partition
com-DBLP,real,chance_L_lspar05,13,10950,10950,,,,0.09118412061637127,0.11635619907006972,0.06601204216267281,,,,size-matched random partition
com-DBLP,real,resmatch_C_seed,100,176,176,,,,0.318466421957866,0.025039427637717125,0.6118934162780149,1.0,,0.02686,granularity control for C_seed (k>=3=179)
com-DBLP,real,resmatch_L_lspar05,100,10812,10621,,,,0.29705134504891434,0.4219545953058723,0.17214809479195636,1.0,,576.0,granularity control for L_lspar05 (k>=3=10948)
com-Amazon,real,baseline,100,300,300,,,,0.17651776343433934,0.09432452742525888,0.2587109994434198,1.0,,1.0,
